#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Alchemist Marie & Elie - Futari no Atelier (Japan);Alchemist Marie & Elie - Futari no Atelier (Japan);Bandai WonderSwan Color;;2001;Gust Corporation;Role-Playing;;;;;0;;;;;
Another Heaven - Memory of those Days (Japan);Another Heaven - Memory of those Days (Japan);Bandai WonderSwan Color;;2000;Omega Mikotto;Adventure;;;;;0;;;;;
Arc the Lad - Kishin Fukkatsu (Japan);Arc the Lad - Kishin Fukkatsu (Japan);Bandai WonderSwan Color;;2002;Bandai;Role-Playing;;;;;0;;;;;
Battle Spirit - Digimon Frontier (Japan);Battle Spirit - Digimon Frontier (Japan);Bandai WonderSwan Color;;2002;Bandai;Fighter;;;;;0;;;;;
Blue Wing Blitz (Japan);Blue Wing Blitz (Japan);Bandai WonderSwan Color;;2001;Square;Strategy;;;;;0;;;;;
Dark Eyes - Battle Gate (Japan);Dark Eyes - Battle Gate (Japan);Bandai WonderSwan Color;;2001;Bandai;Role-Playing;;;;;0;;;;;
Dicing Knight. (Japan) (Translated En);Dicing Knight. (Japan) (Translated En);Bandai WonderSwan Color;;2004;Qute;Role-Playing;;;;;0;;;;;
Digimon - Anode Tamer & Cathode Tamer (Asia);Digimon - Anode Tamer & Cathode Tamer (Asia);Bandai WonderSwan Color;;2001;Banda1;Role-Playing;;;;;0;;;;;
Digimon Adventure 02 - D1 Tamers (Japan);Digimon Adventure 02 - D1 Tamers (Japan);Bandai WonderSwan Color;;2000;Bandai;Role-Playing;;;;;0;;;;;
Digimon Tamers - Battle Spirit (Japan);Digimon Tamers - Battle Spirit (Japan);Bandai WonderSwan Color;;2001;Bandai;Fighter;;;;;0;;;;;
Digimon Tamers - Battle Spirit Ver. 1.5 (Japan);Digimon Tamers - Battle Spirit Ver. 1.5 (Japan);Bandai WonderSwan Color;;2002;Bandai;Fighter;;;;;0;;;;;
Digimon Tamers - Brave Tamer (Japan);Digimon Tamers - Brave Tamer (Japan);Bandai WonderSwan Color;;2001;Bandai;Role-Playing;;;;;0;;;;;
Digimon Tamers - Digimon Medley (Japan);Digimon Tamers - Digimon Medley (Japan);Bandai WonderSwan Color;;2001;Bandai;Role-Playing;;;;;0;;;;;
Digital Monster - D-Project (Japan);Digital Monster - D-Project (Japan);Bandai WonderSwan Color;;2002;Bandai;Role-Playing;;;;;0;;;;;
Digital Monster Card Game - Ver. WonderSwan Color (Japan);Digital Monster Card Game - Ver. WonderSwan Color (Japan);Bandai WonderSwan Color;;2002;Bandai;Card Battle;;;;;0;;;;;
Dokodemo Hamster 3 - Odekake Saffron (Japan);Dokodemo Hamster 3 - Odekake Saffron (Japan);Bandai WonderSwan Color;;2000;Bandai;Simulation;;;;;0;;;;;
Dragon Ball (Japan);Dragon Ball (Japan);Bandai WonderSwan Color;;2003;Bandai;Role-Playing;;;;;0;;;;;
Final Fantasy (Japan);Final Fantasy (Japan);Bandai WonderSwan Color;;2000;Square;Role-Playing;;;;;0;;;;;
Final Fantasy II (Japan);Final Fantasy II (Japan);Bandai WonderSwan Color;;2001;Square;Role-Playing;;;;;0;;;;;
Final Fantasy IV (Japan);Final Fantasy IV (Japan);Bandai WonderSwan Color;;2002;Square;Role-Playing;;;;;0;;;;;
Final Lap Special - GT & Formula Machine (Japan);Final Lap Special - GT & Formula Machine (Japan);Bandai WonderSwan Color;;2001;Bandai;Driving;;;;;0;;;;;
Flash Koibito-kun (Japan);Flash Koibito-kun (Japan);Bandai WonderSwan Color;;2000;Koubunsha;Puzzle;;;;;0;;;;;
From TV Animation One Piece - Chopper no Daibouken (Japan);From TV Animation One Piece - Chopper no Daibouken (Japan);Bandai WonderSwan Color;;2003;Bandai;Role-Playing;;;;;0;;;;;
From TV Animation One Piece - Grand Battle Swan Colosseum (Japan);From TV Animation One Piece - Grand Battle Swan Colosseum (Japan);Bandai WonderSwan Color;;2002;Bandai;Fighter;;;;;0;;;;;
From TV Animation One Piece - Niji no Shima Densetsu (Japan);From TV Animation One Piece - Niji no Shima Densetsu (Japan);Bandai WonderSwan Color;;2001;Bandai;Action;;;;;0;;;;;
From TV Animation One Piece - Treasure Wars (Japan);From TV Animation One Piece - Treasure Wars (Japan);Bandai WonderSwan Color;;2002;Bandai;Board Games;;;;;0;;;;;
From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso (Japan);From TV Animation One Piece - Treasure Wars 2 - Buggy Land e Youkoso (Japan);Bandai WonderSwan Color;;2002;Bandai;Board Games;;;;;0;;;;;
Front Mission (Japan);Front Mission (Japan);Bandai WonderSwan Color;;2002;Square;Role-Playing;;;;;0;;;;;
