#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2010 - The Graphic Action Game (USA, Europe);2010 - The Graphic Action Game (USA, Europe);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
Alcazar - The Forgotten Fortress (USA);Alcazar - The Forgotten Fortress (USA);ColecoVision;;1985;Telegames, Inc.;Action;;;;;0;;;;;
Alphabet Zoo (USA);Alphabet Zoo (USA);ColecoVision;;1983;Spinnaker Software;Action;;;;;0;;;;;
Amazing Bumpman (USA);Amazing Bumpman (USA);ColecoVision;;1984;Telegames, Inc.;Action;;;;;0;;;;;
Antarctic Adventure (USA, Europe);Antarctic Adventure (USA, Europe);ColecoVision;;1984;Konami;Driving;;;;;0;;;;;
Aquattack (USA);Aquattack (USA);ColecoVision;;1984;Toshiba EMI;Shooter;;;;;0;;;;;
Artillery Duel (USA);Artillery Duel (USA);ColecoVision;;1983;Xonox;Strategy;;;;;0;;;;;
BC's Quest for Tires (USA, Europe);BC's Quest for Tires (USA, Europe);ColecoVision;;1983;Artech Studios;Action;;;;;0;;;;;
BC's Quest for Tires II - Grog's Revenge (USA, Europe);BC's Quest for Tires II - Grog's Revenge (USA, Europe);ColecoVision;;1984;Sierra Entertainment;Action;;;;;0;;;;;
Beamrider (USA);Beamrider (USA);ColecoVision;;1983;Activision;Shooter;;;;;0;;;;;
Blockade Runner (USA);Blockade Runner (USA);ColecoVision;;1984;Interphase;Simulation;;;;;0;;;;;
Boulder Dash (USA);Boulder Dash (USA);ColecoVision;;1984;Micro Fun;Action;;;;;0;;;;;
Brain Strainers (USA, Europe);Brain Strainers (USA, Europe);ColecoVision;;1984;Carousel Software Inc.;Puzzle;;;;;0;;;;;
Buck Rogers - Planet Of Zoom (USA, Europe);Buck Rogers - Planet Of Zoom (USA, Europe);ColecoVision;;1983;Sega;Shooter;;;;;0;;;;;
Bump 'N' Jump (USA, Europe);Bump 'N' Jump (USA, Europe);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
BurgerTime (USA, Europe);BurgerTime (USA, Europe);ColecoVision;;1984;Interceptor;Action;;;;;0;;;;;
Cabbage Patch Kids - Adventures in the Park (USA, Europe);Cabbage Patch Kids - Adventures in the Park (USA, Europe);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
Cabbage Patch Kids Picture Show (USA, Europe);Cabbage Patch Kids Picture Show (USA, Europe);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
Campaign '84 (USA);Campaign '84 (USA);ColecoVision;;1983;Sunrise Software Inc.;Action;;;;;0;;;;;
Carnival (USA, Europe);Carnival (USA, Europe);ColecoVision;;1982;Coleco;Action;;;;;0;;;;;
Centipede (USA);Centipede (USA);ColecoVision;;1983;Atari;Shooter;;;;;0;;;;;
Choplifter (USA, Europe);Choplifter (USA, Europe);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
Chuck Norris - Super Kicks (USA);Chuck Norris - Super Kicks (USA);ColecoVision;;1983;Xonox;Beat-'Em-Up;;;;;0;;;;;
Congo Bongo (USA, Europe);Congo Bongo (USA, Europe);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
Cosmic Avenger (USA, Europe);Cosmic Avenger (USA, Europe);ColecoVision;;1982;Universal;Shooter;;;;;0;;;;;
Cosmic Crisis (USA);Cosmic Crisis (USA);ColecoVision;;1984;Telegames, Inc.;Action;;;;;0;;;;;
Dam Busters, The (USA, Europe);Dam Busters, The (USA, Europe);ColecoVision;;1984;Sydney Development Corp.;Action;;;;;0;;;;;
Dance Fantasy (USA);Dance Fantasy (USA);ColecoVision;;1984;Fisher-Price;Action;;;;;0;;;;;
Decathlon (USA);Decathlon (USA);ColecoVision;;1984;Activision, Inc.;Sports/Olympic;;;;;0;;;;;
Defender (USA);Defender (USA);ColecoVision;;1983;Williams Electronics Inc.;Shooter;;;;;0;;;;;
Destructor (USA, Europe);Destructor (USA, Europe);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
Donkey Kong (USA, Europe);Donkey Kong (USA, Europe);ColecoVision;;1983;Nintendo Co., Ltd.;Platform;;;;;0;;;;;
Donkey Kong Jr (USA, Europe);Donkey Kong Jr (USA, Europe);ColecoVision;;1983;Nintendo Co., Ltd.;Platform;;;;;0;;;;;
Dr. Seuss's Fix-Up The Mix-Up Puzzler (USA, Europe);Dr. Seuss's Fix-Up The Mix-Up Puzzler (USA, Europe);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
DragonFire (USA);DragonFire (USA);ColecoVision;;1984;Imagic;Action;;;;;0;;;;;
Dukes of Hazzard, The (USA, Europe);Dukes of Hazzard, The (USA, Europe);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
Evolution (USA);Evolution (USA);ColecoVision;;1983;Coleco (Canada) Limited;Action;;;;;0;;;;;
Facemaker (USA);Facemaker (USA);ColecoVision;;1983;Spinnaker Software Corporation;Action;;;;;0;;;;;
Fathom (USA);Fathom (USA);ColecoVision;;1983;Imagic;Action;;;;;0;;;;;
Flipper Slipper (USA);Flipper Slipper (USA);ColecoVision;;1983;Spectravision;Action;;;;;0;;;;;
Fortune Builder (USA, Europe);Fortune Builder (USA, Europe);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
Fraction Fever (USA);Fraction Fever (USA);ColecoVision;;1983;Spinnaker Software;Action;;;;;0;;;;;
Frantic Freddy (USA);Frantic Freddy (USA);ColecoVision;;1983;Spectravision;Action;;;;;0;;;;;
Frenzy! (USA, Europe);Frenzy! (USA, Europe);ColecoVision;;1983;Coleco;Action;;;;;0;;;;;
Frogger (USA);Frogger (USA);ColecoVision;;1983;Konami Industry Co. Ltd.;Action;;;;;0;;;;;
Frogger II - ThreeDeep! (USA);Frogger II - ThreeDeep! (USA);ColecoVision;;1984;Parker Brothers;Action;;;;;0;;;;;
From Out Of The Jungle - Tarzan (USA);From Out Of The Jungle - Tarzan (USA);ColecoVision;;1984;Coleco;Action;;;;;0;;;;;
Frontline (USA, Europe);Frontline (USA, Europe);ColecoVision;;1983;Taito Corporation;Action;;;;;0;;;;;
Galaxian (USA);Galaxian (USA);ColecoVision;;1983;Namco Limited;Shooter;;;;;0;;;;;
Gateway to Apshai (USA);Gateway to Apshai (USA);ColecoVision;;1984;Epyx, Inc.;Action;;;;;0;;;;;
