#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
$100,000 Pyramid, The (USA);$100,000 Pyramid, The (USA);Commodore 64;;1988;Box Office Software;Quiz;;;;;0;;;;;
'Twas the Night Before Christmas (USA);'Twas the Night Before Christmas (USA);Commodore 64;;1987;Microstar Graphics, Ltd.;Miscellaneous;;;;;0;;;;;
007 Car Chase (USA);007 Car Chase (USA);Commodore 64;;1985;Coplin Software;Driving;;;;;0;;;;;
1,000 Kung-Fu Maniacs! (Europe) (Unl);1,000 Kung-Fu Maniacs! (Europe) (Unl);Commodore 64;;2011;Psytronik Software;Beat-'Em-Up;;;;;0;;;;;
10 Pin (Europe);10 Pin (Europe);Commodore 64;;1986;Tri Micro;Sports/Bowling;;;;;0;;;;;
10... Knockout! (USA);10... Knockout! (USA);Commodore 64;;1985;Amersoft;Sports/Boxing;;;;;0;;;;;
100 Meter Dash (USA);100 Meter Dash (USA);Commodore 64;;199x;Unknown;Sports/Olympic;;;;;0;;;;;
1000 Miglia Volume I - 1927-1933 (Italy);1000 Miglia Volume I - 1927-1933 (Italy);Commodore 64;;1992;Simulmondo;Driving;;;;;0;;;;;
10000 Meters (USA) (Unl);10000 Meters (USA) (Unl);Commodore 64;;2001;GPL (GOD's Public Licence);Sports/Olympic;;;;;0;;;;;
10th Frame (USA);10th Frame (USA);Commodore 64;;1986;Access Software;Sports/Bowling;;;;;0;;;;;
180 (Europe);180 (Europe);Commodore 64;;1986;MAD (Mastertronic's Added Dimension);Sports/Pool and Dart;;;;;0;;;;;
19 Part One - Boot Camp (Europe);19 Part One - Boot Camp (Europe);Commodore 64;;1988;Cascade Games Ltd.;Action;;;;;0;;;;;
1941 - The Secret Conflict (USA) (Unl);1941 - The Secret Conflict (USA) (Unl);Commodore 64;;2014;Chris Yates;Shoot-'Em-Up;;;;;0;;;;;
1942 (Europe);1942 (Europe);Commodore 64;;1986;Elite;Shoot-'Em-Up;;;;;0;;;;;
1943 - One Year After (Sweden);1943 - One Year After (Sweden);Commodore 64;;1987;Action Software American Action;Shoot-'Em-Up;;;;;0;;;;;
1943 - The Battle of Midway (USA);1943 - The Battle of Midway (USA);Commodore 64;;1988;Capcom/Go!;Shoot-'Em-Up;;;;;0;;;;;
1985 - The Day After (Europe);1985 - The Day After (Europe);Commodore 64;;1985;Mastertronic;Action;;;;;0;;;;;
1991 World Cup Knockout, The (Europe);1991 World Cup Knockout, The (Europe);Commodore 64;;1991;ET Software;Motorcycle;;;;;0;;;;;
1994 - Ten Years After (Europe);1994 - Ten Years After (Europe);Commodore 64;;1984;Visions Software Factory;Platform;;;;;0;;;;;
1k-Mini-Bdash (USA) (Unl);1k-Mini-Bdash (USA) (Unl);Commodore 64;;2008;Simon Stelling;Action;;;;;0;;;;;
1st Division Manager (Europe);1st Division Manager (Europe);Commodore 64;;1993;Codemasters;Sports/Soccer;;;;;0;;;;;
2,000 Kung-Fu Maniacs! (Europe) (Unl);2,000 Kung-Fu Maniacs! (Europe) (Unl);Commodore 64;;2011;Psytronik Software;Shoot-'Em-Up;;;;;0;;;;;
221B Baker Street (USA) (Disk 1);221B Baker Street (USA) (Disk 1);Commodore 64;;1986;Datasoft;Board Games;;;;;0;;;;;
221B Baker Street (USA) (Disk 2) (Case Disk 1);221B Baker Street (USA) (Disk 2) (Case Disk 1);Commodore 64;;1986;Datasoft;Board Games;;;;;0;;;;;
221B Baker Street (USA) (Disk 3) (Case Disk 2);221B Baker Street (USA) (Disk 3) (Case Disk 2);Commodore 64;;1986;Datasoft;Board Games;;;;;0;;;;;
2D Tennis Game (Europe);2D Tennis Game (Europe);Commodore 64;;1987;Wicked Software;Sports/Tennis;;;;;0;;;;;
