#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
AlloAllo_v1.0;'Allo 'Allo! Cartoon Fun!;Commodore Amiga;;;;;;;;;0;;;;;
Nam19651975_v1.0;'Nam 1965 - 1975;Commodore Amiga;;;;;;;;;0;;;;;
1000Miglia_v1.1b;1000 Miglia;Commodore Amiga;;;;;;;;;0;;;;;
1000ccTurbo_v1.0;1000cc Turbo;Commodore Amiga;;;;;;;;;0;;;;;
1943_v1.2;1943 - The Battle of Midway;Commodore Amiga;;;;;;;;;0;;;;;
20000LeaguesUnderTheSea_v0.4;20000 Leagues Under The Sea;Commodore Amiga;;;;;;;;;0;;;;;
3001OConnorsFight_v1.0;3001 - O'Connors Fight;Commodore Amiga;;;;;;;;;0;;;;;
3DGalax_v1.0;3D Galax;Commodore Amiga;;;;;;;;;0;;;;;
3DPool_v1.2_0621;3D Pool;Commodore Amiga;;;;;;;;;0;;;;;
4DSportsBoxing_v1.1_0421;4D Sports Boxing;Commodore Amiga;;;;;;;;;0;;;;;
4DSportsDriving&MasterTracks_v1.0_1461;4D Sports Driving & Master Tracks;Commodore Amiga;;;;;;;;;0;;;;;
4x4OffRoadRacing_v1.00_1480;4x4 Off-Road Racing;Commodore Amiga;;;;;;;;;0;;;;;
5thGear_v1.0_1001;5th Gear;Commodore Amiga;;;;;;;;;0;;;;;
688AttackSub_v1.1_0093;688 Attack Sub;Commodore Amiga;;;;;;;;;0;;;;;
7Colors_v1.1_0956;7 Colors;Commodore Amiga;;;;;;;;;0;;;;;
9Lives_v1.0;9 Lives;Commodore Amiga;;;;;;;;;0;;;;;
A10TankKiller_v2.0_2Disk_1396;A-10 Tank Killer;Commodore Amiga;;;;;;;;;0;;;;;
A10TankKiller_v2.0_3Disk;A-10 Tank Killer v1.5;Commodore Amiga;;;;;;;;;0;;;;;
ATrain_v1.0_1010;A-Train;Commodore Amiga;;;;;;;;;0;;;;;
ATrain&ConstructionSet_v1.0_1010&1469;A-Train Construction Set;Commodore Amiga;;;;;;;;;0;;;;;
AGE_v1.2;A.G.E. - Advanced Galactic Empire;Commodore Amiga;;;;;;;;;0;;;;;
AstroMarineCorps_v1.1;A.M.C. - Astro Marine Corps;Commodore Amiga;;;;;;;;;0;;;;;
AdvancedDestroyerSimulator_v1.0_2151;ADS - Advanced Destroyer Simulator;Commodore Amiga;;;;;;;;;0;;;;;
APB_v1.1_Files_1708;APB - All Points Bulletin;Commodore Amiga;;;;;;;;;0;;;;;
ATF2_v1.1a_2396;ATF II - Advanced Tactical Fighter II;Commodore Amiga;;;;;;;;;0;;;;;
AllTerrainRacing_v1.1;ATR - All Terrain Racing;Commodore Amiga;;;;;;;;;0;;;;;
AllTerrainRacingXmasDemo_v1.2;ATR - All Terrain Racing - Christmas Edition;Commodore Amiga;;;;;;;;;0;;;;;
Aaargh_v1.0a_0511;Aaargh!;Commodore Amiga;;;;;;;;;0;;;;;
AbandonedPlaces_v1.3_1000;Abandoned Places - A Time for Heroes;Commodore Amiga;;;;;;;;;0;;;;;
AbandonedPlaces2_v2.0;Abandoned Places 2;Commodore Amiga;;;;;;;;;0;;;;;
Abracadabra_v1.1;Abracadabra;Commodore Amiga;;;;;;;;;0;;;;;
Academy_v1.1;Academy;Commodore Amiga;;;;;;;;;0;;;;;
ActionFighter_v1.0;Action Fighter;Commodore Amiga;;;;;;;;;0;;;;;
AddamsFamily_v1.3_0419;Addams Family, The;Commodore Amiga;;;;;;;;;0;;;;;
TieBreak_v1.0;Adidas Championship Tie-Break;Commodore Amiga;;;;;;;;;0;;;;;
Adrenalynn_v1.1a;Adrenalynn;Commodore Amiga;;;;;;;;;0;;;;;
AdvancedSkiSimulator_v1.1_0094;Advanced Ski Simulator;Commodore Amiga;;;;;;;;;0;;;;;
AdvantageTennis_v1.0;Advantage Tennis;Commodore Amiga;;;;;;;;;0;;;;;
AdventureConstructionSet_v1.0_0904;Adventure Construction Set;Commodore Amiga;;;;;;;;;0;;;;;
AdventuresOfQuik&Silva_v1.1;Adventures of Quik & Silva, The;Commodore Amiga;;;;;;;;;0;;;;;
AdventuresOfRobinHood_v1.1;Adventures of Robin Hood, The;Commodore Amiga;;;;;;;;;0;;;;;
AdventuresOfWillyBeamish_v1.0_1814;Adventures of Willy Beamish, The;Commodore Amiga;;;;;;;;;0;;;;;
AfterBurner_v1.0_Activision_0095;After Burner (Activision);Commodore Amiga;;;;;;;;;0;;;;;
AfterBurner_v1.2_Sega_0947;After Burner (Sega);Commodore Amiga;;;;;;;;;0;;;;;
AfterTheWar_v1.1_1084;After the War;Commodore Amiga;;;;;;;;;0;;;;;
Agony_v1.3_0960;Agony;Commodore Amiga;;;;;;;;;0;;;;;
AirSupport_v1.1_1320;Air Support;Commodore Amiga;;;;;;;;;0;;;;;
Airball_v1.0;Airball;Commodore Amiga;;;;;;;;;0;;;;;
AirborneRanger_v1.0;Airborne Ranger;Commodore Amiga;;;;;;;;;0;;;;;
Akira_v1.0;Akira;Commodore Amiga;;;;;;;;;0;;;;;
Aladdin_v1.4_AGA_0420;Aladdin;Commodore Amiga;;;;;;;;;0;;;;;
Alcatraz_v1.0_2073;Alcatraz;Commodore Amiga;;;;;;;;;0;;;;;
AlfredChicken_v1.0_0422;Alfred Chicken;Commodore Amiga;;;;;;;;;0;;;;;
Alianator_v1.0_1905;Alianator;Commodore Amiga;;;;;;;;;0;;;;;
Alien3_v2.1_0261;Alien 3;Commodore Amiga;;;;;;;;;0;;;;;
AlienBash_v1.0;Alien Bash;Commodore Amiga;;;;;;;;;0;;;;;
AlienBash2_v1.2;Alien Bash II;Commodore Amiga;;;;;;;;;0;;;;;
AlienBreed_v1.3_0998;Alien Breed;Commodore Amiga;;;;;;;;;0;;;;;
AlienBreedSpecialEdition_v1.0_0615;Alien Breed - Special Edition 92;Commodore Amiga;;;;;;;;;0;;;;;
AlienBreedTowerAssault_v1.0_AGA_0279;Alien Breed - Tower Assault;Commodore Amiga;;;;;;;;;0;;;;;
AlienBreed3D_v1.0_AGA_Fixed_0624;Alien Breed 3D;Commodore Amiga;;;;;;;;;0;;;;;
AlienBreed3D2_v1.0_AGA_4MB_0280;Alien Breed 3D 2 - The Killing Grounds;Commodore Amiga;;;;;;;;;0;;;;;
AlienBreed2_v1.3_AGA_0044;Alien Breed II - The Horror Continues;Commodore Amiga;;;;;;;;;0;;;;;
AlienDrugLords_v1.0_1004;Alien Drug Lords - The Chyropian Connection;Commodore Amiga;;;;;;;;;0;;;;;
AlienFishFinger_v1.0;Alien Fish Finger;Commodore Amiga;;;;;;;;;0;;;;;
AlienLegion_v1.0;Alien Legion;Commodore Amiga;;;;;;;;;0;;;;;
AlienStorm_v1.3_0096;Alien Storm;Commodore Amiga;;;;;;;;;0;;;;;
AlienSyndrome_v1.0;Alien Syndrome;Commodore Amiga;;;;;;;;;0;;;;;
AlienWorld_v1.0_1398;Alien World;Commodore Amiga;;;;;;;;;0;;;;;
Aliex_v1.1;Aliex;Commodore Amiga;;;;;;;;;0;;;;;
