Darius (Europe);Darius (Europe);Sinclair ZX Spectrum;;1990;The Edge Software;Shooter;;;;;0;;;;;
Darius + (Europe);Darius + (Europe);Atari ST;;1989;The Edge;Shoot-'Em-Up;;;;;0;;;;;
Darius Alpha (Japan);Darius Alpha;NEC PC Engine;;;;;;;;;0;;;;;
Darius Plus (Japan);Darius Plus;NEC PC Engine;;;;;;;;;0;;;;;
Darius Twin (USA);Darius Twin (USA);Super Nintendo Entertainment System;;1991;Taito;Shooter;;;;;0;;;;;
Darius+_v1.0;Darius +;Commodore Amiga;;;;;;;;;0;;;;;
G. Darius (USA);G. Darius (USA);Sony PSP;;1998;THQ;Shooter;;;;;0;;;;;
G. Darius (USA);G. Darius (USA);Sony PlayStation;;1998;THQ;Shooter;;;;;0;;;;;
Super Darius (Japan);Super Darius (Japan);NEC PC Engine-CD;;1990;NEC Avenue;Shooter;;;;;0;;;;;
Super Darius 2 (Japan);Super Darius 2 (Japan);NEC PC Engine-CD;;1993;NEC Avenue;Shooter;;;;;0;;;;;
darius2;Darius II (Japan);Final Burn Alpha;;1989;Taito Corporation;;;;;;0;;;;;
darius2;Darius II (triple screen) (Japan);Arcade;;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2;Darius II (triple screen) (Japan);MAME (Advance);;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2;Darius II (triple screen) (Japan);MAME (Libretro);;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2;Darius II (triple screen) (Japan);MAME (Mame4all);;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2d;Darius II (dual screen) (Japan);Final Burn Alpha;darius2;1989;Taito Corporation;;;;;;0;;;;;
darius2d;Darius II (dual screen) (Japan, Rev 2);Arcade;darius2;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2d;Darius II (dual screen) (Japan, Rev 2);MAME (Advance);darius2;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2d;Darius II (dual screen) (Japan, Rev 2);MAME (Libretro);darius2;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2d;Darius II (dual screen) (Japan, Rev 2);MAME (Mame4all);darius2;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2do;Darius II (dual screen) (Japan old version);Final Burn Alpha;darius2;1989;Taito Corporation;;;;;;0;;;;;
darius2do;Darius II (dual screen) (Japan, Rev 1);Arcade;darius2;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2do;Darius II (dual screen) (Japan, Rev 1);MAME (Advance);darius2;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2do;Darius II (dual screen) (Japan, Rev 1);MAME (Libretro);darius2;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius2do;Darius II (dual screen) (Japan, Rev 1);MAME (Mame4all);darius2;1989;Taito Corporation;Shooter / Flying Horizontal;;;;;0;;;;;
darius;Darius (World);Final Burn Alpha;;1986;Taito Corporation Japan;;;;;;0;;;;;
darius;Darius (World, rev 2);Arcade;;1986;Taito Corporation Japan;Shooter / Flying Horizontal;;;;;0;;;;;
darius;Darius (World, rev 2);MAME (Advance);;1986;Taito Corporation Japan;Shooter / Flying Horizontal;;;;;0;;;;;
