#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;Final Burn Alpha;;1988;Konami;;;;;;0;;;;;
99lstwar;'99 The Last War;Final Burn Alpha;repulse;1985;Proma;;;;;;0;;;;;
99lstwark;'99 The Last War (Kyugo);Final Burn Alpha;repulse;1985;Kyugo;;;;;;0;;;;;
99lstwara;'99 The Last War (alternate);Final Burn Alpha;repulse;1985;Proma;;;;;;0;;;;;
gtmra;1000 Miglia Great 1000 Miles Rally (94/06/13);Final Burn Alpha;gtmr;1994;Kaneko;;;;;;0;;;;;
gtmr;1000 Miglia Great 1000 Miles Rally (94/07/18);Final Burn Alpha;;1994;Kaneko;;;;;;0;;;;;
12in1;12 in 1;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
13mahjan;13 Ma Jiang - 98 Mei Shao Nu Pian (Chi);Final Burn Alpha;;1998;BBD;;;;;;0;;;;;
16tongnk;16 Ton (Jpn, Game no Kandume MegaCD Rip);Final Burn Alpha;16ton;1991;Sega;;;;;;0;;;;;
16ton;16 Ton (Jpn, SegaNet);Final Burn Alpha;;1991;Sega;;;;;;0;;;;;
16zhan;16 Zhang Ma Jiang (Chi);Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
1941u;1941 - Counter Attack (900227 USA);Final Burn Alpha;1941;1990;Capcom;;;;;;0;;;;;
1941;1941 - Counter Attack (900227 World);Final Burn Alpha;;1990;Capcom;;;;;;0;;;;;
1941j;1941 - Counter Attack (Japan);Final Burn Alpha;1941;1990;Capcom;;;;;;0;;;;;
1941r1;1941 - Counter Attack (World);Final Burn Alpha;1941;1990;Capcom;;;;;;0;;;;;
1942b;1942 (First Version);Final Burn Alpha;1942;1984;Capcom;;;;;;0;;;;;
1942a;1942 (Revision A);Final Burn Alpha;1942;1984;Capcom;;;;;;0;;;;;
1942abl;1942 (Revision A, bootleg) [Bootleg];Final Burn Alpha;1942;1984;Capcom;;;;;;0;;;;;
1942;1942 (Revision B);Final Burn Alpha;;1984;Capcom;;;;;;0;;;;;
1942w;1942 (Williams Electronics license);Final Burn Alpha;1942;1985;Capcom (Williams Electronics license);;;;;;0;;;;;
1943kai;1943 Kai Midway Kaisen (Japan);Final Burn Alpha;;1987;Capcom;;;;;;0;;;;;
1943ja;1943 Midway Kaisen (Japan);Final Burn Alpha;1943;1987;Capcom;;;;;;0;;;;;
1943j;1943 Midway Kaisen (Japan, Rev B);Final Burn Alpha;1943;1987;Capcom;;;;;;0;;;;;
1943;1943 The Battle of Midway (Euro);Final Burn Alpha;;1987;Capcom;;;;;;0;;;;;
1943u;1943 The Battle of Midway (US);Final Burn Alpha;1943;1987;Capcom;;;;;;0;;;;;
1943b;1943 The Battle of Midway (bootleg set 1, hack of Japan set) [Bootleg];Final Burn Alpha;1943;1987;Capcom;;;;;;0;;;;;
1943b2;1943 The Battle of Midway (bootleg set 2, hack of Japan set) [Bootleg];Final Burn Alpha;1943;1987;Capcom;;;;;;0;;;;;
1944j;1944 - the loop master (000620 Japan);Final Burn Alpha;1944;2000;Capcom / 8ing / Raizing;;;;;;0;;;;;
1944d;1944 - the loop master (000620 USA Phoenix Edition) [Bootleg];Final Burn Alpha;1944;2000;bootleg;;;;;;0;;;;;
1944ad;1944 - the loop master (000620 USA Phoenix Edition, alt) [Bootleg];Final Burn Alpha;1944;2000;bootleg;;;;;;0;;;;;
1944;1944 - the loop master (000620 USA);Final Burn Alpha;;2000;Capcom / 8ing / Raizing;;;;;;0;;;;;
bgareggabl;1945 Part 2 (Battle Garaga hack) [Hack];Final Burn Alpha;bgaregga;1996;hack;;;;;;0;;;;;
1945kiii;1945k III;Final Burn Alpha;;2000;Oriental;;;;;;0;;;;;
19xxa;19XX - the war against destiny (951207 Asia);Final Burn Alpha;19xx;1995;Capcom;;;;;;0;;;;;
19xxjr2;19XX - the war against destiny (951207 Japan);Final Burn Alpha;19xx;1995;Capcom;;;;;;0;;;;;
19xxd;19XX - the war against destiny (951207 USA Phoenix Edition) [Bootleg];Final Burn Alpha;19xx;1995;bootleg;;;;;;0;;;;;
19xx;19XX - the war against destiny (951207 USA);Final Burn Alpha;;1995;Capcom;;;;;;0;;;;;
19xxb;19XX - the war against destiny (951218 Brazil);Final Burn Alpha;19xx;1995;Capcom;;;;;;0;;;;;
19xxh;19XX - the war against destiny (951218 Hispanic);Final Burn Alpha;19xx;1995;Capcom;;;;;;0;;;;;
19xxjr1;19XX - the war against destiny (951225 Japan);Final Burn Alpha;19xx;1995;Capcom;;;;;;0;;;;;
19xxj;19XX - the war against destiny (960104 Japan, yellow case);Final Burn Alpha;19xx;1996;Capcom;;;;;;0;;;;;
2psymmac;2 in 1 - Psycho Pinball & Micro Machines (Euro);Final Burn Alpha;;1993;Codemasters;;;;;;0;;;;;
2020bb;2020 Super Baseball (set 1);Final Burn Alpha;;1991;SNK / Pallas;;;;;;0;;;;;
2020bba;2020 Super Baseball (set 2);Final Burn Alpha;2020bb;1991;SNK / Pallas;;;;;;0;;;;;
2020bbh;2020 Super Baseball (set 3);Final Burn Alpha;2020bb;1991;SNK / Pallas;;;;;;0;;;;;
2020bbj;2020 Toshi Super Baseball (Jpn);Final Burn Alpha;2020bb;1994;Electronic Arts Victor;;;;;;0;;;;;
21emon;21 Emon - Mezase Hotel ou!!;Final Burn Alpha;;1994;NEC Home Electronics;;;;;;0;;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043)(NGH-043);Final Burn Alpha;;1993;SNK;;;;;;0;;;;;
3ninja;3 Ninjas Kick Back (USA);Final Burn Alpha;;1994;Psygnosis;;;;;;0;;;;;
3in1fwt;3 in 1 Flashback - World Championship Soccer - Tecmo World Cup 92 (Pirate);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
3in1rmb;3 in 1 Road Rash - Ms. Pac-Man - Block Out (Pirate);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
4enraya;4 En Raya (set 1);Final Burn Alpha;;1990;IDSA;;;;;;0;;;;;
4enrayaa;4 En Raya (set 2);Final Burn Alpha;4enraya;1990;IDSA;;;;;;0;;;;;
4in1;4 Fun in 1 [Bootleg];Final Burn Alpha;;1981;Armenia / Food and Fun;;;;;;0;;;;;
4in1pb;4 in 1 (Pirate);Final Burn Alpha;;199?;unknown;;;;;;0;;;;;
4play;4 player input test [Demo, 4 player  input test cartridge];Final Burn Alpha;;???;SNK;;;;;;0;;;;;
4dwarrio;4-D Warriors (315-5162);Final Burn Alpha;;1985;Coreland / Sega;;;;;;0;;;;;
1942h;42 (Screamware bootleg, hack);Final Burn Alpha;1942;1984;Capcom;;;;;;0;;;;;
6pak;6-Pak (USA);Final Burn Alpha;;1996;Sega;;;;;;0;;;;;
600;600;Final Burn Alpha;turtles;1981;Konami;;;;;;0;;;;;
688atsub;688 Attack Sub (Euro, USA);Final Burn Alpha;;1991;Sega;;;;;;0;;;;;
7ordi;7 Ordi (Korea);Final Burn Alpha;;2002;Yun Sung;;;;;;0;;;;;
800fath;800 Fathoms;Final Burn Alpha;mariner;1981;Amenip (US Billiards Inc. license);;;;;;0;;;;;
bugslife;A Bug's Life;Final Burn Alpha;;199?;unlicensed;;;;;;0;;;;;
bugslifea;A Bug's Life (Alt?);Final Burn Alpha;bugslife;199?;unlicensed;;;;;;0;;;;;
dinotale;A Dinosaur's Tale (USA);Final Burn Alpha;;1993;Hi-Tech Expression;;;;;;0;;;;;
aresshmd;A Ressha de Ikou MD - Take the 'A' Train (Jpn);Final Burn Alpha;;1992;Sega;;;;;;0;;;;;
abcopj;A.B. Cop (Japan, FD1094 317-0169b);Final Burn Alpha;abcop;1990;Sega;;;;;;0;;;;;
abcop;A.B. Cop (World, FD1094 317-0169b);Final Burn Alpha;;1990;Sega;;;;;;0;;;;;
ad2083;A.D. 2083 [Incomplete Sound];Final Burn Alpha;;1983;Midcoin;;;;;;0;;;;;
aaahhrm;AAAHH!!! Real Monsters (Euro);Final Burn Alpha;;1995;Viacom New Media;;;;;;0;;;;;
aaahhrmu;AAAHH!!! Real Monsters (USA);Final Burn Alpha;aaahhrm;1995;Viacom New Media;;;;;;0;;;;;
atptour;ATP Tour Championship Tennis (Euro);Final Burn Alpha;;1995;Sega;;;;;;0;;;;;
atptourp7;ATP Tour Championship Tennis (Prototype, 19940509);Final Burn Alpha;atptour;1994;Sega;;;;;;0;;;;;
