Ghouls'n Ghosts (USA, Europe);Ghouls'n Ghosts (USA, Europe);Sega Master System;;1990;Sega;Platform;;;;;0;;;;;
Ghouls'n Gremlins (Europe);Ghouls'n Gremlins (Europe);Commodore 64;;1986;Elite;Platform;;;;;0;;;;;
Ghouls'n'Ghosts (Europe);Ghouls'n'Ghosts (Europe);Commodore 64;;1989;US Gold/Capcom;Platform;;;;;0;;;;;
Super Ghouls'n Ghosts (USA);Super Ghouls'n Ghosts (USA);Super Nintendo Entertainment System;;1991;Capcom;Platform;;;;;0;;;;;
Super Ghouls'n Ghosts (USA, Europe);Super Ghouls'n Ghosts (USA, Europe);Nintendo Game Boy Advance;;2002;Capcom;Platform;;;;;0;;;;;
ghouls1;Ghouls'n Ghosts (Euro, USA);Final Burn Alpha;ghouls;1989;Sega;;;;;;0;;;;;
ghouls;Ghouls'n Ghosts (World);Final Burn Alpha;;1988;Capcom;;;;;;0;;;;;
ghouls;Ghouls'n Ghosts (World);Arcade;;1988;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
ghouls;Ghouls'n Ghosts (World);MAME (Advance);;1988;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
ghouls;Ghouls'n Ghosts (World);MAME (Libretro);;1988;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
ghouls;Ghouls'n Ghosts (World);MAME (Mame4all);;1988;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
ghoulsu;Ghouls'n Ghosts (US);Final Burn Alpha;ghouls;1988;Capcom;;;;;;0;;;;;
ghoulsu;Ghouls'n Ghosts (USA);Arcade;ghouls;1988;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
ghoulsu;Ghouls'n Ghosts (USA);MAME (Advance);ghouls;1988;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
ghoulsu;Ghouls'n Ghosts (USA);MAME (Libretro);ghouls;1988;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
ghoulsu;Ghouls'n Ghosts (USA);MAME (Mame4all);ghouls;1988;Capcom;Platform / Fighter Scrolling;;;;;0;;;;;
mt_gng;Ghouls'n Ghosts (Mega-Tech);Arcade;;1989;Capcom / Sega;Platform;;;;;0;;;;;
mt_gng;Ghouls'n Ghosts (Mega-Tech);MAME (Advance);;1989;Capcom / Sega;Platform;;;;;0;;;;;
mt_gng;Ghouls'n Ghosts (Mega-Tech);MAME (Libretro);;1989;Capcom / Sega;Platform;;;;;0;;;;;
