Ax Battler - A Legend of Golden Axe (USA, Europe);Ax Battler - A Legend of Golden Axe (USA, Europe);Sega Game Gear;;1991;Sega;Action;;;;;0;;;;;
ga2;Golden Axe The Revenge of Death Adder (World);Arcade;;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2;Golden Axe The Revenge of Death Adder (World);MAME (Advance);;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2;Golden Axe The Revenge of Death Adder (World);MAME (Libretro);;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2;Golden Axe The Revenge of Death Adder (World);MAME (Mame4all);;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2j;Golden Axe The Revenge of Death Adder (Japan);Arcade;ga2;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2j;Golden Axe The Revenge of Death Adder (Japan);MAME (Advance);ga2;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2j;Golden Axe The Revenge of Death Adder (Japan);MAME (Libretro);ga2;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2j;Golden Axe The Revenge of Death Adder (Japan);MAME (Mame4all);ga2;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2u;Golden Axe The Revenge of Death Adder (US);Arcade;ga2;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2u;Golden Axe The Revenge of Death Adder (US);MAME (Advance);ga2;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2u;Golden Axe The Revenge of Death Adder (US);MAME (Libretro);ga2;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
ga2u;Golden Axe The Revenge of Death Adder (US);MAME (Mame4all);ga2;1992;Sega;Fighter / 2.5D;;;;;0;;;;;
gaxeduel;Golden Axe - The Duel (JUETL 950117 V1.000);Arcade;;1994;Sega;Fighter / Versus;;;;;0;;;;;
gaxeduel;Golden Axe - The Duel (JUETL 950117 V1.000);MAME (Advance);;1994;Sega;Fighter / Versus;;;;;0;;;;;
gaxeduel;Golden Axe - The Duel (JUETL 950117 V1.000);MAME (Libretro);;1994;Sega;Fighter / Versus;;;;;0;;;;;
gaxeduel;Golden Axe - The Duel (JUETL 950117 V1.000);MAME (Mame4all);;1994;Sega;Fighter / Versus;;;;;0;;;;;
Golden Axe (Europe) (Disk 1);Golden Axe (Europe) (Disk 1);Amstrad CPC;;1990;Virgin Games;Beat-'Em-Up;;;;;0;;;;;
Golden Axe (Europe) (Disk 2);Golden Axe (Europe) (Disk 2);Amstrad CPC;;1990;Virgin Games;Beat-'Em-Up;;;;;0;;;;;
Golden Axe (Europe);Golden Axe (Europe);Atari ST;;1989;Virgin Mastertronic;Beat-'Em-Up;;;;;0;;;;;
Golden Axe (Europe);Golden Axe (Europe);Commodore 64;;1990;Virgin Mastertronic;Beat-'Em-Up;;;;;0;;;;;
Golden Axe III (Japan);Golden Axe III (Japan);Sega Genesis;;1993;Sega;Beat-'Em-Up;;;;;0;;;;;
Golden Axe III (Japan);Golden Axe III (Japan);Sega Mega Drive Japan;;1993;Sega;Action / Adventure;2;;;;;;;;;
Golden Axe II (World);Golden Axe II (World);Sega Genesis;;1991;Sega;Beat-'Em-Up;;;;;0;;;;;
Golden Axe (Japan);Golden Axe (Japan);NEC PC Engine-CD;;1990;Nihon Telenet;Beat-'Em-Up;;;;;0;;;;;
Golden Axe (Side A) (Europe);Golden Axe (Side A) (Europe);Sinclair ZX Spectrum;;1990;Virgin Games;Beat-'Em-Up;;;;;0;;;;;
Golden Axe (Side B) (Europe);Golden Axe (Side B) (Europe);Sinclair ZX Spectrum;;1990;Virgin Games;Beat-'Em-Up;;;;;0;;;;;
Golden Axe (USA, Europe);Golden Axe (USA, Europe);Sega Master System;;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
GoldenAxe_v1.3_0017;Golden Axe;Commodore Amiga;;;;;;;;;0;;;;;
Golden Axe Warrior (USA, Europe);Golden Axe Warrior (USA, Europe);Sega Master System;;1991;Sega;Role-Playing;;;;;0;;;;;
Golden Axe (World);Golden Axe (World);Sega Genesis;;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
goldnax2;Golden Axe II (World);Final Burn Alpha;;1991;Sega;;;;;;0;;;;;
goldnax2p;Golden Axe II (World, Prototype);Final Burn Alpha;goldnax2;1991;Sega;;;;;;0;;;;;
