#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
mpatrol;Moon Patrol;Arcade;;1982;Irem;Shooter;;;;;0;;;;;
mpatrol;Moon Patrol;Final Burn Alpha;;1982;Irem;Shooter;;;;;0;;;;;
mpatrol;Moon Patrol;MAME (Advance);;1982;Irem;Shooter;;;;;0;;;;;
mpatrol;Moon Patrol;MAME (Libretro);;1982;Irem;Shooter;;;;;0;;;;;
mpatrol;Moon Patrol;MAME (Mame4all);;1982;Irem;Shooter;;;;;0;;;;;
trackfld;Track & Field;Arcade;;1983;Konami;Sports / Track & Field;;;;;0;;;;;
trackfld;Track & Field;Final Burn Alpha;;1983;Konami;Sports/Track & Field;;;;;0;;;;;
trackfld;Track & Field;MAME (Advance);;1983;Konami;Sports/Track & Field;;;;;0;;;;;
trackfld;Track & Field;MAME (Libretro);;1983;Konami;Sports / Track & Field;;;;;0;;;;;
trackfld;Track & Field;MAME (Mame4all);;1983;Konami;Sports / Track & Field;;;;;0;;;;;
Resident Evil 2 - Dual Shock Edition (USA) (Disc 1);Resident Evil 2 - Dual Shock Edition (USA) (Disc 1);Sony PlayStation;;1998;Capcom;Adventure;;;;;0;;;;;
Resident Evil 2 - Dual Shock Edition (USA) (Disc 1);Resident Evil 2 - Dual Shock Edition (USA) (Disc 1);Sony PlayStation;;1998;Capcom;Adventure;;;;;0;;;;;
Resident Evil 2 - Dual Shock Edition (USA) (Disc 2);Resident Evil 2 - Dual Shock Edition (USA) (Disc 2);Sony PlayStation;;1998;Capcom;Adventure;;;;;0;;;;;
Resident Evil 2 - Dual Shock Edition (USA) (Disc 2);Resident Evil 2 - Dual Shock Edition (USA) (Disc 2);Sony PlayStation;;1998;Capcom;Adventure;;;;;0;;;;;
Resident Evil 2 - Dual Shock Edition (USA);Resident Evil 2 - Dual Shock Edition (USA);Sony PlayStation;;1998;Capcom;Adventure;;;;;0;;;;;
Resident Evil 2 (USA) (Disc 1);Resident Evil 2 (USA) (Disc 1);Sega Dreamcast;;2000;Capcom;Adventure;;;;;0;;;;;
Resident Evil 2 (USA) (Disc 2);Resident Evil 2 (USA) (Disc 2);Sega Dreamcast;;2000;Capcom;Adventure;;;;;0;;;;;
Resident Evil 2 (USA) (Rev A);Resident Evil 2 (USA) (Rev A);Nintendo 64;;2000;Capcom;Adventure;;;;;0;;;;;
Sonic the Hedgehog 3 (Japan);Sonic the Hedgehog 3 (Japan);Sega Mega Drive Japan;;1994;Sega;Adventure;2;;;;;;;;;
Sonic the Hedgehog 3 (USA);Sonic the Hedgehog 3 (USA);Sega Genesis;;1994;Sega;Platform;;;;;0;;;;;
Superman (USA) (En,Fr,Es);Superman (USA) (En,Fr,Es);Nintendo 64;;1999;Titus Software;Adventure;;;;;0;;;;;
Superman (USA) (En,Fr,Es);Superman (USA) (En,Fr,Es);Nintendo 64;;1999;Titus Software;Adventure;;;;;0;;;;;
Super Mario World (USA);Super Mario World (USA);Super Nintendo Entertainment System;;1991;Nintendo;Platform;;;;;0;;;;;
Super Mario World (USA);Super Mario World (USA);Super Nintendo Entertainment System;;1991;Nintendo;Platform;;;;;0;;;;;
In the Hunt (USA);In the Hunt (USA);Sony PlayStation;;1996;Kokopeli;Shooter;;;;;0;;;;;
In the Hunt (USA);In the Hunt (USA);Sony PlayStation;;1996;Kokopeli;Shooter;;;;;0;;;;;
In the Hunt (USA);In the Hunt (USA);Sony PlayStation;;1996;Xing Entertaiment;Action;2;;;;;;;;
In the Hunt (USA);In the Hunt (USA);Sony PSP;;1996;Kokopeli;Shooter;;;;;0;;;;;
inthunt;In The Hunt (World);Arcade;;1993;Irem;Shoot-'Em-Up;;;;;0;;;;;
inthunt;In The Hunt (World);Arcade;;1993;Irem;Shooter / Misc. Horizontal;;;;;0;;;;;
inthunt;In The Hunt (World);Arcade;;1993;Irem;Shooter / Misc. Horizontal;;;;;0;;;;;
inthunt;In The Hunt (World);Final Burn Alpha;;1993;Irem;Shoot-'Em-Up;;;;;0;;;;;
inthunt;In The Hunt (World) [Imperfect sound and graphics];Final Burn Alpha;;1993;Irem;;;;;;0;;;;;
inthunt;In The Hunt (World);MAME (Advance);;1993;Irem;Shoot-'Em-Up;;;;;0;;;;;
inthunt;In The Hunt (World);MAME (Advance);;1993;Irem;Shooter / Misc. Horizontal;;;;;0;;;;;
inthunt;In The Hunt (World);MAME (Advance);;1993;Irem;Shooter / Misc. Horizontal;;;;;0;;;;;
inthunt;In The Hunt (World);MAME (Libretro);;1993;Irem;Shoot-'Em-Up;;;;;0;;;;;
inthunt;In The Hunt (World);MAME (Libretro);;1993;Irem;Shooter / Misc. Horizontal;;;;;0;;;;;
inthunt;In The Hunt (World);MAME (Libretro);;1993;Irem;Shooter / Misc. Horizontal;;;;;0;;;;;
inthunt;In The Hunt (World);MAME (Mame4all);;1993;Irem;Shoot-'Em-Up;;;;;0;;;;;
inthunt;In The Hunt (World);MAME (Mame4all);;1993;Irem;Shooter / Misc. Horizontal;;;;;0;;;;;
inthunt;In The Hunt (World);MAME (Mame4all);;1993;Irem;Shooter / Misc. Horizontal;;;;;0;;;;;
inthuntu;In The Hunt;MAME (Advance);inthunt;1993;Irem America;Shooter;;;;;0;;;;;
inthuntu;In The Hunt (US);Arcade;inthunt;1993;Irem America;Shoot-'Em-Up;;;;;0;;;;;
inthuntu;In The Hunt (US);Arcade;inthunt;1993;Irem America;Shooter / Misc. Horizontal;;;;;0;;;;;
