#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
88games;'88 Games;MAME (Advance);;1988;Konami;Sports / Track & Field;;;;;0;;;;;
99lstwark;'99 The Last War (Kyugo);MAME (Advance);repulse;1985;Crux / Kyugo;Shooter / Gallery;;;;;0;;;;;
99lstwar;'99 The Last War (set 1);MAME (Advance);repulse;1985;Crux / Proma;Shooter / Gallery;;;;;0;;;;;
99lstwara;'99 The Last War (set 2);MAME (Advance);repulse;1985;Crux / Proma;Shooter / Gallery;;;;;0;;;;;
005;005;MAME (Advance);;1981;Sega;Maze / Shooter Small;;;;;0;;;;;
1on1gov;1 on 1 Government (Japan);MAME (Advance);;2000;Tecmo;Sports / Basketball;;;;;0;;;;;
10yard85;10-Yard Fight '85 (US, Taito license);MAME (Advance);10yard;1985;Irem (Taito license);Sports / Amer. Football;;;;;0;;;;;
10yardj;10-Yard Fight (Japan);MAME (Advance);10yard;1983;Irem;Sports / Amer. Football;;;;;0;;;;;
10yard;10-Yard Fight (World, set 1);MAME (Advance);;1983;Irem;Sports / Amer. Football;;;;;0;;;;;
gtmra;1000 Miglia Great 1000 Miles Rally (94/06/13);MAME (Advance);gtmr;1994;Kaneko;Driving / Race;;;;;0;;;;;
gtmr;1000 Miglia Great 1000 Miles Rally (94/07/18);MAME (Advance);;1994;Kaneko;Driving / Race;;;;;0;;;;;
cprogolf18;18 Challenge Pro Golf (DECO Cassette, Japan);MAME (Advance);cprogolf;1982;Data East Corporation;Sports / Golf;;;;;0;;;;;
progolf;18 Holes Pro Golf (set 1);MAME (Advance);;1981;Data East Corporation;Sports / Golf;;;;;0;;;;;
1941j;1941 Counter Attack (Japan);MAME (Advance);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941u;1941 Counter Attack (USA 900227);MAME (Advance);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941;1941 Counter Attack (World 900227);MAME (Advance);;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1941r1;1941 Counter Attack (World);MAME (Advance);1941;1990;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1942b;1942 (First Version);MAME (Advance);1942;1984;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
pc_1942;1942 (PlayChoice-10);MAME (Advance);;1987;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1942a;1942 (Revision A);MAME (Advance);1942;1984;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
1942abl;1942 (Revision A, bootleg);MAME (Advance);1942;1984;bootleg;Shooter / Flying Vertical;;;;;0;;;;;
1942;1942 (Revision B);MAME (Advance);;1984;Capcom;Shooter / Flying Vertical;;;;;0;;;;;
