#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
4-TRIS (World);4-TRIS (World);Mattel Intellivision;;1999;independent;Puzzle;1;;;;;;;;;
ABPA Backgammon (World);ABPA Backgammon (World);Mattel Intellivision;;1979;Mattel Electronics;Strategy;1;;;;;;;;;
Advanced Dungeons & Dragons (World);Advanced Dungeons & Dragons (World);Mattel Intellivision;;;;;;;;;;;;;;
Advanced Dungeons & Dragons - Treasure of Tarmin (World);Advanced Dungeons & Dragons - Treasure of Tarmin (World);Mattel Intellivision;;;;;;;;;;;;;;
Armor Battle (World);Armor Battle (World);Mattel Intellivision;;1979;Mattel Electronics;Action;2;;;;;;;;;
Astrosmash (World);Astrosmash (World);Mattel Intellivision;;1981;Mattel Electronics;Shooter;1;;;;;;;;;
Atlantis (World);Atlantis (World);Mattel Intellivision;;1982;Imagic;Shooter;1;;;;;;;;;
Auto Racing (World);Auto Racing (World);Mattel Intellivision;;1980;Mattel Electronics;Racing;1;;;;;;;;;
B-17 Bomber (World);B-17 Bomber (World);Mattel Intellivision;;1982;Mattel Electronics;Action;1;;;;;;;;;
BeamRider (World);BeamRider (World);Mattel Intellivision;;1983;Activision;Shooter;1;;;;;;;;;
Beauty and the Beast (World);Beauty and the Beast (World);Mattel Intellivision;;;;;;;;;;;;;;
Blockade Runner (World);Blockade Runner (World);Mattel Intellivision;;1983;Interphase Technologies Inc.;Shooter;;;;;;;;;;
Body Slam - Super Pro Wrestling (World);Body Slam - Super Pro Wrestling (World);Mattel Intellivision;;1988;INTV Corporation;Action;;;;;;;;;;
Bomb Squad (World);Bomb Squad (World);Mattel Intellivision;;1982;Mattel Electronics;Puzzle;1;;;;;;;;;
Boxing (World);Boxing (World);Mattel Intellivision;;1981;Mattel Electronics;Sports;2;;;;;;;;;
Bump 'N' Jump (World);Bump 'N' Jump (World);Mattel Intellivision;;1983;Mattel Electronics;Racing;;;;;;;;;;
BurgerTime (World);BurgerTime (World);Mattel Intellivision;;1982;Mattel Electronics;Stealth;;;;;;;;;;
Buzz Bombers (World);Buzz Bombers (World);Mattel Intellivision;;1983;Mattel Electronics;Shooter;1;;;;;;;;;
Carnival (World);Carnival (World);Mattel Intellivision;;1982;Coleco;Shooter;1;;;;;;;;;
Centipede (World);Centipede (World);Mattel Intellivision;;1983;Atarisoft;Shooter;;;;;;;;;;
Championship Tennis (World);Championship Tennis (World);Mattel Intellivision;;1985;Dextell;Sports;;;;;;;;;;
Checkers (World);Checkers (World);Mattel Intellivision;;1980;Mattel Electronics;Strategy;1;;;;;;;;;
Chip Shot - Super Pro Golf (World);Chip Shot - Super Pro Golf (World);Mattel Intellivision;;1987;INTV Corporation;Sports;;;;;;;;;;
Commando (World);Commando (World);Mattel Intellivision;;1987;INTV Corporation;Shooter;;;;;;;;;;
Congo Bongo (World);Congo Bongo (World);Mattel Intellivision;;1983;Sega;Platform;1;;;;;;;;;
Deep Pockets - Super Pro Pool and Billiards (World);Deep Pockets - Super Pro Pool and Billiards (World);Mattel Intellivision;;1997;Intellivision Productions;Sports;2;;;;;;;;;
Defender (World);Defender (World);Mattel Intellivision;;1983;Atarisoft;Shooter;1;;;;;;;;;
Demon Attack (World);Demon Attack (World);Mattel Intellivision;;1982;Imagic;Shooter;;;;;;;;;;
Dig Dug (World);Dig Dug (World);Mattel Intellivision;;;;;;;;;;;;;;
Diner (World);Diner (World);Mattel Intellivision;;1987;INTV Corporation;Stealth;1;;;;;;;;;
Donkey Kong (World);Donkey Kong (World);Mattel Intellivision;;1982;Colecovision;Platform;;;;;;;;;;
Donkey Kong Jr (World);Donkey Kong Jr (World);Mattel Intellivision;;;;;;;;;;;;;;
Dracula (World);Dracula (World);Mattel Intellivision;;1983;Imagic;Action;;;;;;;;;;
Dragonfire (World);Dragonfire (World);Mattel Intellivision;;1982;Imagic;Platform;1;;;;;;;;;
Dreadnaught Factor, The (World);Dreadnaught Factor, The (World);Mattel Intellivision;;1983;Activision;Action;1;;;;;;;;;
Duncan's Thin Ice (World);Duncan's Thin Ice (World);Mattel Intellivision;;;;;;;;;;;;;;
Electric Company - Math Fun (World);Electric Company - Math Fun (World);Mattel Intellivision;;1979;Mattel Electronics;Puzzle;;;;;;;;;;
Electric Company - Word Fun (World);Electric Company - Word Fun (World);Mattel Intellivision;;1980;Mattel Electronics;Puzzle;;;;;;;;;;
Fathom (World);Fathom (World);Mattel Intellivision;;1983;Imagic;Adventure;1;;;;;;;;;
Frog Bog (World);Frog Bog (World);Mattel Intellivision;;1982;Mattel Electronics;Platform;;;;;;;;;;
Frogger (World);Frogger (World);Mattel Intellivision;;1983;Parker Brothers;Platform;;;;;;;;;;
Game Factory (World);Game Factory (World);Mattel Intellivision;;2001;Intellivision Productions;;1;;;;;;;;;
Grid Shock (World);Grid Shock (World);Mattel Intellivision;;1998;Intellivision Productions;;;;;;;;;;;
Happy Trails (World);Happy Trails (World);Mattel Intellivision;;1983;Activision;Puzzle;;;;;;;;;;
Hard Hat (World);Hard Hat (World);Mattel Intellivision;;1998;Intellivision Productions;;2;;;;;;;;;
Horse Racing (World);Horse Racing (World);Mattel Intellivision;;1980;Mattel Electronics;;;;;;;;;;;
Hover Force (World);Hover Force (World);Mattel Intellivision;;1986;Mattel Electronics;Action;1;;;;;;;;;
Ice Trek (World);Ice Trek (World);Mattel Intellivision;;1983;Imagic;Action;1;;;;;;;;;
Jetsons, The - Ways With Words (World);Jetsons, The - Ways With Words (World);Mattel Intellivision;;1983;Mattel Electronics;Puzzle;1;;;;;;;;;
Kool-Aid Man (World);Kool-Aid Man (World);Mattel Intellivision;;1983;Mattel Electronics;Stealth;1;;;;;;;;;
Lady Bug (World);Lady Bug (World);Mattel Intellivision;;1983;Coleco;Stealth;1;;;;;;;;;
Land Battle (World);Land Battle (World);Mattel Intellivision;;1998;Intellivision Productions;Action;2;;;;;;;;;
Las Vegas Blackjack and Poker (World);Las Vegas Blackjack and Poker (World);Mattel Intellivision;;;;;;;;;;;;;;
Las Vegas Roulette (World);Las Vegas Roulette (World);Mattel Intellivision;;1980;Mattel Electronics;;;;;;;;;;;
League of Light (World);League of Light (World);Mattel Intellivision;;2001;Intellivision Productions;Music;1;;;;;;;;;
Learning Fun I - Math Master Factor Fun (World);Learning Fun I - Math Master Factor Fun (World);Mattel Intellivision;;;;;;;;;;;;;;
Learning Fun II - Word Wizard Memory Fun (World);Learning Fun II - Word Wizard Memory Fun (World);Mattel Intellivision;;;;;;;;;;;;;;
Lock 'N' Chase (World);Lock 'N' Chase (World);Mattel Intellivision;;1982;Mattel Electronics;Stealth;;;;;;;;;;
Loco-Motion (World);Loco-Motion (World);Mattel Intellivision;;1983;Mattel Electronics;Puzzle;;;;;;;;;;
Magic Carousel (World);Magic Carousel (World);Mattel Intellivision;;2001;Intellivision Productions;Puzzle;1;;;;;;;;;
Major League Baseball (World);Major League Baseball (World);Mattel Intellivision;;1980;Mattel Electronics;Sports;2;;;;;;;;;
