#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
10-Yard Fight (Japan);10-Yard Fight (Japan);Microsoft MSX;;;;;;;;;0;;;;;
10-Yard Fight (Japan) (Alt 1);10-Yard Fight (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
1942 (Japan);1942 (Japan);Microsoft MSX;;;;;;;;;0;;;;;
1942 (Japan) (Alt 1);1942 (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
3-D Golf Simulation (Japan);3-D Golf Simulation (Japan);Microsoft MSX;;;;;;;;;0;;;;;
3-D Golf Simulation (Japan) (Alt 1);3-D Golf Simulation (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
3-D Golf Simulation (Japan) (High Speed);3-D Golf Simulation (Japan) (High Speed);Microsoft MSX;;;;;;;;;0;;;;;
3D Tennis (Japan);3D Tennis (Japan);Microsoft MSX;;;;;;;;;0;;;;;
A.E. (Japan);A.E. (Japan);Microsoft MSX;;;;;;;;;0;;;;;
A1 Spirit - The Way to Formula-1 (Japan);A1 Spirit - The Way to Formula-1 (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Actman (Japan);Actman (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Actman (Japan) (Alt 1);Actman (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
Adven' Chuta! (Japan);Adven' Chuta! (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Albatros (Japan);Albatros (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Albatros (Japan) (Alt 1);Albatros (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
Alcazar - The Forgotten Fortress (Japan);Alcazar - The Forgotten Fortress (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Alcazar - The Forgotten Fortress (Japan) (Alt 1);Alcazar - The Forgotten Fortress (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
Alibaba and 40 Thieves (Japan);Alibaba and 40 Thieves (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Alibaba and 40 Thieves (Japan) (Alt 1);Alibaba and 40 Thieves (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
Alibaba and 40 Thieves (Japan) (Alt 2);Alibaba and 40 Thieves (Japan) (Alt 2);Microsoft MSX;;;;;;;;;0;;;;;
Alien 8 (Japan);Alien 8 (Japan);Microsoft MSX;;;;;;;;;0;;;;;
Alien 8 (Japan) (Alt 1);Alien 8 (Japan) (Alt 1);Microsoft MSX;;;;;;;;;0;;;;;
