#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - GoldenEye (USA);007 - GoldenEye (USA);Nintendo 64;;1997;Nintendo;Shooter;;;;;0;;;;;
007 - The World Is Not Enough (USA);007 - The World Is Not Enough (USA);Nintendo 64;;2000;Electronic Arts;Shooter;;;;;0;;;;;
1080 Snowboarding (Japan, USA) (En,Ja);1080 Snowboarding (Japan, USA) (En,Ja);Nintendo 64;;1998;Nintendo;Snowboarding/Sports;;;;;0;;;;;
AeroFighters Assault (USA);AeroFighters Assault (USA);Nintendo 64;;1997;Vic Tokai;Flying;;;;;0;;;;;
AeroGauge (USA);AeroGauge (USA);Nintendo 64;;1998;ASCII Entertainment;Driving;;;;;0;;;;;
Aidyn Chronicles - The First Mage (USA);Aidyn Chronicles - The First Mage (USA);Nintendo 64;;2001;THQ;Role-Playing;;;;;0;;;;;
Air Boarder 64 (Europe);Air Boarder 64 (Europe);Nintendo 64;;1998;GMI;Sports;;;;;0;;;;;
All Star Tennis '99 (USA);All Star Tennis '99 (USA);Nintendo 64;;1999;Ubisoft;Sports/Tennis;;;;;0;;;;;
All-Star Baseball '99 (USA);All-Star Baseball '99 (USA);Nintendo 64;;1998;Acclaim;Baseball/Sports;;;;;0;;;;;
All-Star Baseball 2000 (USA);All-Star Baseball 2000 (USA);Nintendo 64;;1999;Acclaim;Baseball/Sports;;;;;0;;;;;
All-Star Baseball 2001 (USA);All-Star Baseball 2001 (USA);Nintendo 64;;2000;Acclaim;Baseball/Sports;;;;;0;;;;;
Armorines - Project S.W.A.R.M. (USA);Armorines - Project S.W.A.R.M. (USA);Nintendo 64;;1999;Acclaim;Shooter;;;;;0;;;;;
Army Men - Air Combat (USA);Army Men - Air Combat (USA);Nintendo 64;;2000;3DO;Action;;;;;0;;;;;
Army Men - Sarge's Heroes (USA);Army Men - Sarge's Heroes (USA);Nintendo 64;;1999;3DO;Shooter;;;;;0;;;;;
Army Men - Sarge's Heroes 2 (USA);Army Men - Sarge's Heroes 2 (USA);Nintendo 64;;2000;3DO;Shooter;;;;;0;;;;;
Asteroids Hyper 64 (USA);Asteroids Hyper 64 (USA);Nintendo 64;;1999;Crave;Shoot-'Em-Up;;;;;0;;;;;
Automobili Lamborghini (USA);Automobili Lamborghini (USA);Nintendo 64;;1997;Titus Software;Driving;;;;;0;;;;;
Banjo-Kazooie (USA) (Rev A);Banjo-Kazooie (USA) (Rev A);Nintendo 64;;1998;Nintendo;Platform;;;;;0;;;;;
Banjo-Tooie (USA);Banjo-Tooie (USA);Nintendo 64;;2000;Nintendo;Platform;;;;;0;;;;;
Bassmasters 2000 (USA);Bassmasters 2000 (USA);Nintendo 64;;1999;THQ;Fishing/Sports;;;;;0;;;;;
Batman Beyond - Return of the Joker (USA);Batman Beyond - Return of the Joker (USA);Nintendo 64;;2000;Ubisoft;Beat-'Em-Up;;;;;0;;;;;
BattleTanx (USA);BattleTanx (USA);Nintendo 64;;1998;3DO;Action;;;;;0;;;;;
BattleTanx - Global Assault (USA);BattleTanx - Global Assault (USA);Nintendo 64;;1999;3DO;Action;;;;;0;;;;;
Battlezone - Rise of the Black Dogs (USA);Battlezone - Rise of the Black Dogs (USA);Nintendo 64;;2000;Crave;Strategy;;;;;0;;;;;
Beetle Adventure Racing! (USA) (En,Fr,De);Beetle Adventure Racing! (USA) (En,Fr,De);Nintendo 64;;1999;EA Sports;Driving;;;;;0;;;;;
Big Mountain 2000 (USA);Big Mountain 2000 (USA);Nintendo 64;;2000;SouthPeak Games;Snowboarding/Sports;;;;;0;;;;;
Bio F.R.E.A.K.S. (USA);Bio F.R.E.A.K.S. (USA);Nintendo 64;;1998;Midway;Fighter;;;;;0;;;;;
Blast Corps (USA) (Rev A);Blast Corps (USA) (Rev A);Nintendo 64;;1997;Nintendo;Action;;;;;0;;;;;
Blues Brothers 2000 (USA);Blues Brothers 2000 (USA);Nintendo 64;;2000;Titus Software;Platform;;;;;0;;;;;
Body Harvest (USA);Body Harvest (USA);Nintendo 64;;1998;Midway;Action;;;;;0;;;;;
Bomberman 64 (USA);Bomberman 64 (USA);Nintendo 64;;1997;Nintendo;Action;;;;;0;;;;;
Bomberman 64 - The Second Attack! (USA);Bomberman 64 - The Second Attack! (USA);Nintendo 64;;2000;Vatical Entertainment;Action;;;;;0;;;;;
Bomberman Hero (USA);Bomberman Hero (USA);Nintendo 64;;1998;Nintendo;Platform;;;;;0;;;;;
Bottom of the 9th (USA);Bottom of the 9th (USA);Nintendo 64;;1999;Konami;Baseball/Sports;;;;;0;;;;;
Brunswick Circuit Pro Bowling (USA);Brunswick Circuit Pro Bowling (USA);Nintendo 64;;1999;THQ;Bowling/Sports;;;;;0;;;;;
Buck Bumble (USA);Buck Bumble (USA);Nintendo 64;;1998;Ubisoft;Action;;;;;0;;;;;
Bug's Life, A (USA);Bug's Life, A (USA);Nintendo 64;;1999;Activision;Platform;;;;;0;;;;;
Bust-A-Move '99 (USA);Bust-A-Move '99 (USA);Nintendo 64;;1999;Acclaim;Puzzle;;;;;0;;;;;
Bust-A-Move 2 - Arcade Edition (USA);Bust-A-Move 2 - Arcade Edition (USA);Nintendo 64;;1998;Acclaim;Puzzle;;;;;0;;;;;
California Speed (USA);California Speed (USA);Nintendo 64;;1999;Midway;Driving;;;;;0;;;;;
Carmageddon 64 (USA);Carmageddon 64 (USA);Nintendo 64;;1999;Titus Software;Driving;;;;;0;;;;;
Castlevania (USA) (Rev B);Castlevania (USA) (Rev B);Nintendo 64;;1998;Konami;Platform;;;;;0;;;;;
Castlevania - Legacy of Darkness (USA);Castlevania - Legacy of Darkness (USA);Nintendo 64;;1999;Konami;Platform;;;;;0;;;;;
Centre Court Tennis (Europe);Centre Court Tennis (Europe);Nintendo 64;;1999;BigBen Interactive;Sports/Tennis;;;;;0;;;;;
Chameleon Twist (USA);Chameleon Twist (USA);Nintendo 64;;1997;SunSoft;Platform;;;;;0;;;;;
Chameleon Twist 2 (USA);Chameleon Twist 2 (USA);Nintendo 64;;1997;SunSoft;Platform;;;;;0;;;;;
Charlie Blast's Territory (USA);Charlie Blast's Territory (USA);Nintendo 64;;1999;Kemco;Action;;;;;0;;;;;
Chopper Attack (USA);Chopper Attack (USA);Nintendo 64;;1998;Midway;Action;;;;;0;;;;;
Clay Fighter - Sculptor's Cut (USA);Clay Fighter - Sculptor's Cut (USA);Nintendo 64;;1998;Interplay;Fighter;;;;;0;;;;;
Clay Fighter 63 1-3 (USA);Clay Fighter 63 1-3 (USA);Nintendo 64;;1997;Interplay;Fighter;;;;;0;;;;;
Command & Conquer (USA);Command & Conquer (USA);Nintendo 64;;1999;Nintendo;Strategy;;;;;0;;;;;
Conker's Bad Fur Day (USA);Conker's Bad Fur Day (USA);Nintendo 64;;2001;Rare Ltd.;Platform;;;;;0;;;;;
Cruis'n Exotica (USA);Cruis'n Exotica (USA);Nintendo 64;;2000;Midway;Driving;;;;;0;;;;;
Cruis'n USA (USA) (Rev B);Cruis'n USA (USA) (Rev B);Nintendo 64;;1996;Nintendo;Driving;;;;;0;;;;;
Cruis'n World (USA);Cruis'n World (USA);Nintendo 64;;1998;Nintendo;Driving;;;;;0;;;;;
CyberTiger (USA);CyberTiger (USA);Nintendo 64;;2000;Electronic Arts;Golf/Sports;;;;;0;;;;;
Dark Rift (USA);Dark Rift (USA);Nintendo 64;;1997;Vic Tokai;Fighter;;;;;0;;;;;
Deadly Arts (USA);Deadly Arts (USA);Nintendo 64;;1998;Konami;Fighter;;;;;0;;;;;
Destruction Derby 64 (USA);Destruction Derby 64 (USA);Nintendo 64;;1999;THQ;Driving;;;;;0;;;;;
Diddy Kong Racing (USA) (En,Fr) (Rev A);Diddy Kong Racing (USA) (En,Fr) (Rev A);Nintendo 64;;1997;Nintendo;Driving;;;;;0;;;;;
Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It);Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It);Nintendo 64;;2000;Ubisoft;Adventure;;;;;0;;;;;
Donkey Kong 64 (USA);Donkey Kong 64 (USA);Nintendo 64;;1999;Rare Ltd.;Platform;;;;;0;;;;;
Doom 64 (USA) (Rev A);Doom 64 (USA) (Rev A);Nintendo 64;;1997;Midway;Shooter;;;;;0;;;;;
Dr. Mario 64 (USA);Dr. Mario 64 (USA);Nintendo 64;;2001;Nintendo;Puzzle;;;;;0;;;;;
Dual Heroes (USA);Dual Heroes (USA);Nintendo 64;;1998;Electro Brain;Fighter;;;;;0;;;;;
Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es);Duck Dodgers Starring Daffy Duck (USA) (En,Fr,Es);Nintendo 64;;2000;Infogrames;Platform;;;;;0;;;;;
Duke Nukem - Zero Hour (USA);Duke Nukem - Zero Hour (USA);Nintendo 64;;1999;GT Interactive;Shooter;;;;;0;;;;;
Duke Nukem 64 (USA);Duke Nukem 64 (USA);Nintendo 64;;1997;GT Interactive;Shooter;;;;;0;;;;;
ECW Hardcore Revolution (USA);ECW Hardcore Revolution (USA);Nintendo 64;;2000;Acclaim;Sports/Wrestling;;;;;0;;;;;
Earthworm Jim 3D (USA);Earthworm Jim 3D (USA);Nintendo 64;;1999;Rockstar Games;Platform;;;;;0;;;;;
Elmo's Letter Adventure (USA);Elmo's Letter Adventure (USA);Nintendo 64;;1999;NewKidCo;Miscellaneous;;;;;0;;;;;
Elmo's Number Journey (USA);Elmo's Number Journey (USA);Nintendo 64;;1999;NewKidCo;Miscellaneous;;;;;0;;;;;
Excitebike 64 (USA);Excitebike 64 (USA);Nintendo 64;;2000;Nintendo;Motorcycle;;;;;0;;;;;
Extreme-G (USA);Extreme-G (USA);Nintendo 64;;1997;Acclaim;Driving;;;;;0;;;;;
Extreme-G XG2 (USA);Extreme-G XG2 (USA);Nintendo 64;;1998;Acclaim;Driving;;;;;0;;;;;
F-1 World Grand Prix (USA);F-1 World Grand Prix (USA);Nintendo 64;;1998;Video System;Driving;;;;;0;;;;;
F-1 World Grand Prix II (Europe) (En,Fr,De,Es);F-1 World Grand Prix II (Europe) (En,Fr,De,Es);Nintendo 64;;1999;Nintendo;Driving;;;;;0;;;;;
F-Zero X (USA);F-Zero X (USA);Nintendo 64;;1998;Nintendo;Driving;;;;;0;;;;;
F1 Pole Position 64 (USA) (En,Fr,De);F1 Pole Position 64 (USA) (En,Fr,De);Nintendo 64;;1997;Ubisoft;Driving;;;;;0;;;;;
F1 Racing Championship (Europe) (En,Fr,De,Es,It);F1 Racing Championship (Europe) (En,Fr,De,Es,It);Nintendo 64;;2000;Ubisoft;Driving;;;;;0;;;;;
FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv);FIFA - Road to World Cup 98 (USA) (En,Fr,De,Es,It,Nl,Sv);Nintendo 64;;;Electronic Arts;Soccer/Sports;;;;;0;;;;;
FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv);FIFA 99 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv);Nintendo 64;;1998;Electronic Arts;Soccer/Sports;;;;;0;;;;;
FIFA Soccer 64 (USA) (En,Fr,De);FIFA Soccer 64 (USA) (En,Fr,De);Nintendo 64;;1997;EA Sports;Soccer/Sports;;;;;0;;;;;
Fighter Destiny 2 (USA);Fighter Destiny 2 (USA);Nintendo 64;;1998;Ocean;Fighter;;;;;0;;;;;
Fighters Destiny (USA);Fighters Destiny (USA);Nintendo 64;;1998;Ocean;Fighter;;;;;0;;;;;
Fighting Force 64 (USA);Fighting Force 64 (USA);Nintendo 64;;1999;Crave;Beat-'Em-Up;;;;;0;;;;;
Flying Dragon (USA);Flying Dragon (USA);Nintendo 64;;1998;Natsume;Fighter;;;;;0;;;;;
Forsaken 64 (USA);Forsaken 64 (USA);Nintendo 64;;1998;Acclaim;Shooter;;;;;0;;;;;
Fox Sports College Hoops '99 (USA);Fox Sports College Hoops '99 (USA);Nintendo 64;;1998;Fox Interactive;Basketball/Sports;;;;;0;;;;;
GT64 - Championship Edition (USA);GT64 - Championship Edition (USA);Nintendo 64;;1998;Ocean;Driving;;;;;0;;;;;
Gauntlet Legends (USA);Gauntlet Legends (USA);Nintendo 64;;1999;Midway;Action;;;;;0;;;;;
Gex 3 - Deep Cover Gecko (USA);Gex 3 - Deep Cover Gecko (USA);Nintendo 64;;1999;Crave;Platform;;;;;0;;;;;
Gex 64 - Enter the Gecko (USA);Gex 64 - Enter the Gecko (USA);Nintendo 64;;1998;Midway;Platform;;;;;0;;;;;
Glover (USA);Glover (USA);Nintendo 64;;1998;Hasbro Interactive;Platform;;;;;0;;;;;
