#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
actraiser;actraiser;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
albert odyssey;albert odyssey;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
arkanoid - doh it again;arkanoid - doh it again;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
bokujo monogatari dai-4-wa;bokujo monogatari dai-4-wa;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
chrono trigger - jet bike special;chrono trigger - jet bike special;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
cock-a-doodle-do (rpg tsukuru super dante);cock-a-doodle-do (rpg tsukuru super dante);Nintendo BS-X Satellaview;;;;;;;;;;;;;;
cu-on-pa;cu-on-pa;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
daibakushou jinsei gekijou;daibakushou jinsei gekijou;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
dezaemon;dezaemon;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
dokapon gaiden - honoo no audition;dokapon gaiden - honoo no audition;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
dr. mario;dr. mario;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
dragon slayer - the legend of heroes;dragon slayer - the legend of heroes;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
dynami tracer;dynami tracer;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
excitebike bun bun mario battle stadium 1;excitebike bun bun mario battle stadium 1;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
excitebike bun bun mario battle stadium 2;excitebike bun bun mario battle stadium 2;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
excitebike bun bun mario battle stadium 3a;excitebike bun bun mario battle stadium 3a;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
excitebike bun bun mario battle stadium 3b;excitebike bun bun mario battle stadium 3b;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
excitebike bun bun mario battle stadium 4;excitebike bun bun mario battle stadium 4;Nintendo BS-X Satellaview;;;;;;;;;;;;;;
