#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
10-Yard Fight (USA, Europe);10-Yard Fight (USA, Europe);Nintendo Entertainment System;;1985;Nintendo;Sports/Football;;;;;0;;;;;
1942 (Japan, USA);1942 (Japan, USA);Nintendo Entertainment System;;1986;Capcom;Shoot-'Em-Up;;;;;0;;;;;
1943 - The Battle of Midway (USA);1943 - The Battle of Midway (USA);Nintendo Entertainment System;;1988;Capcom;Shoot-'Em-Up;;;;;0;;;;;
3-D WorldRunner (USA);3-D WorldRunner (USA);Nintendo Entertainment System;;1987;Acclaim;Action;;;;;0;;;;;
720 Degrees (USA);720 Degrees (USA);Nintendo Entertainment System;;1989;Mindscape Inc.;Sports/Skating;;;;;0;;;;;
8 Eyes (USA);8 Eyes (USA);Nintendo Entertainment System;;1990;Taxan;Action;;;;;0;;;;;
Abadox - The Deadly Inner War (USA);Abadox - The Deadly Inner War (USA);Nintendo Entertainment System;;1990;Milton Bradley;Shoot-'Em-Up;;;;;0;;;;;
Action 52 (USA) (Unl);Action 52 (USA) (Unl);Nintendo Entertainment System;;1991;Active Enterprises;Compilation;;;;;0;;;;;
Adan y Eva (Spain) (Unl);Adan y Eva (Spain) (Unl);Nintendo Entertainment System;;1992;Caltron;Action;;;;;0;;;;;
Addams Family, The (USA);Addams Family, The (USA);Nintendo Entertainment System;;1992;Ocean;Platform;;;;;0;;;;;
Addams Family, The - Pugsley's Scavenger Hunt (USA);Addams Family, The - Pugsley's Scavenger Hunt (USA);Nintendo Entertainment System;;1993;Ocean;Platform;;;;;0;;;;;
Advanced Dungeons & Dragons - DragonStrike (USA);Advanced Dungeons & Dragons - DragonStrike (USA);Nintendo Entertainment System;;1992;Pony Canyon;Role-Playing;;;;;0;;;;;
Advanced Dungeons & Dragons - Heroes of the Lance (USA);Advanced Dungeons & Dragons - Heroes of the Lance (USA);Nintendo Entertainment System;;1991;Pony Canyon;Role-Playing;;;;;0;;;;;
Advanced Dungeons & Dragons - Hillsfar (USA);Advanced Dungeons & Dragons - Hillsfar (USA);Nintendo Entertainment System;;1993;FCI, Inc.;Role-Playing;;;;;0;;;;;
