#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
19 - Neunzehn (Japan) (Translated En);19 - Neunzehn (Japan) (Translated En);Nintendo Famicom Disk System;;1988;Soft Pro;Strategy;;;;;0;;;;;
Adian no Tsue (Japan);Adian no Tsue (Japan);Nintendo Famicom Disk System;;1986;Sunsoft;Adventure;;;;;0;;;;;
Ai Senshi Nicol (Japan);Ai Senshi Nicol (Japan);Nintendo Famicom Disk System;;1987;Konami;Role-Playing;;;;;0;;;;;
Akara Senki Raijin (Japan);Akara Senki Raijin (Japan);Nintendo Famicom Disk System;;1988;Microcabin Square;Shooter;;;;;0;;;;;
Aki to Tsukasa no Fushigi no Kabe (Japan) (Unl);Aki to Tsukasa no Fushigi no Kabe (Japan) (Unl);Nintendo Famicom Disk System;;1988;Super PIG;Action;;;;;0;;;;;
Akumajou Dracula (Japan);Akumajou Dracula (Japan);Nintendo Famicom Disk System;;1986;Konami;Platform;;;;;0;;;;;
Akumajou Dracula II - Noroi no Fuuin (Japan);Akumajou Dracula II - Noroi no Fuuin (Japan);Nintendo Famicom Disk System;;1987;Konami;Action;;;;;0;;;;;
Aliens (Japan) (Proto);Aliens (Japan) (Proto);Nintendo Famicom Disk System;;1987;Square-Activision;Action;;;;;0;;;;;
All Night Nippon Super Mario Bros. (Japan);All Night Nippon Super Mario Bros. (Japan);Nintendo Famicom Disk System;;1986;Nintendo;Platform;;;;;0;;;;;
Apple Town Monogatari - Little Computer People (Japan);Apple Town Monogatari - Little Computer People (Japan);Nintendo Famicom Disk System;;1987;Square;Miscellaneous;;;;;0;;;;;
Armana no Kiseki (Japan) (Translated En);Armana no Kiseki (Japan) (Translated En);Nintendo Famicom Disk System;;1987;Konami;Action;;;;;0;;;;;
Aspic - Mahebiou no Noroi (Japan);Aspic - Mahebiou no Noroi (Japan);Nintendo Famicom Disk System;;1988;Bothtec;Role-Playing;;;;;0;;;;;
Backgammon (Japan);Backgammon (Japan);Nintendo Famicom Disk System;;1990;Nintendo;Board Games;;;;;0;;;;;
Bakutoushi Patton-kun (Japan);Bakutoushi Patton-kun (Japan);Nintendo Famicom Disk System;;1988;Soft Pro;Action;;;;;0;;;;;
Baseball (Japan);Baseball (Japan);Nintendo Famicom Disk System;;1984;Nintendo;Sports/Baseball;;;;;0;;;;;
Big Challenge! Dogfight Spirit (Japan);Big Challenge! Dogfight Spirit (Japan);Nintendo Famicom Disk System;;1988;Jaleco;Shooter;;;;;0;;;;;
Big Challenge! Go! Go! Bowling (Japan);Big Challenge! Go! Go! Bowling (Japan);Nintendo Famicom Disk System;;1989;Jaleco;Sports/Bowling;;;;;0;;;;;
Big Challenge! Gun Fighter (Japan);Big Challenge! Gun Fighter (Japan);Nintendo Famicom Disk System;;1989;Jaleco;Shooter;;;;;0;;;;;
Big Challenge! Judou Senshuken (Japan);Big Challenge! Judou Senshuken (Japan);Nintendo Famicom Disk System;;1988;Jaleco;Sports;;;;;0;;;;;
Bio Miracle Bokutte Upa (Japan);Bio Miracle Bokutte Upa (Japan);Nintendo Famicom Disk System;;1988;Konami;Platform;;;;;0;;;;;
Bishoujo Control (Japan) (Unl);Bishoujo Control (Japan) (Unl);Nintendo Famicom Disk System;;1988;Wild;Adventure;;;;;0;;;;;
Bishoujo Hanafuda Club Vol.1 - Oityokabu Hen (Japan) (Unl);Bishoujo Hanafuda Club Vol.1 - Oityokabu Hen (Japan) (Unl);Nintendo Famicom Disk System;;1989;Super PIG;Card Battle;;;;;0;;;;;
Bishoujo Hanafuda Club Vol.2 - Koikoi Bakappana Hen (Japan) (Unl);Bishoujo Hanafuda Club Vol.2 - Koikoi Bakappana Hen (Japan) (Unl);Nintendo Famicom Disk System;;1990;Super PIG;Card Battle;;;;;0;;;;;
Bishoujo Kachinuki Renju - Gomokunarabe (Japan) (Unl);Bishoujo Kachinuki Renju - Gomokunarabe (Japan) (Unl);Nintendo Famicom Disk System;;1983;Super Pig;Board Games;;;;;0;;;;;
Bishoujo Mahjong Club (Japan) (Unl);Bishoujo Mahjong Club (Japan) (Unl);Nintendo Famicom Disk System;;1988;Hacker International;Mahjong;;;;;0;;;;;
Bishoujo SF Alien Battle (Japan) (Unl);Bishoujo SF Alien Battle (Japan) (Unl);Nintendo Famicom Disk System;;1990;Hacker International;Board Games;;;;;0;;;;;
