#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Armor Battle (Mattel Electronics);Armor Battle (Mattel Electronics);Nintendo Game and Watch;;;;;;;;;0;;;;;
Banana (VTech, Time & Fun);Banana (VTech, Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Baseball (VTech, Explorer Time & Fun);Baseball (VTech, Explorer Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Bomb Fight (VTech, Mini Time & Fun);Bomb Fight (VTech, Mini Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Caccia al Ladro (VTech, Mini Time & Fun);Caccia al Ladro (VTech, Mini Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Cessate il Fuoco (VTech, Mini Time & Fun);Cessate il Fuoco (VTech, Mini Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Chicky Woggy (VTech, Arcade Time & Fun);Chicky Woggy (VTech, Arcade Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Chicky Woggy (VTech, Electronic Tini-Arcade);Chicky Woggy (VTech, Electronic Tini-Arcade);Nintendo Game and Watch;;;;;;;;;0;;;;;
Condor (VTech, Time & Fun);Condor (VTech, Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Crazy Chewy (VTech, Electronic Tini-Arcade);Crazy Chewy (VTech, Electronic Tini-Arcade);Nintendo Game and Watch;;;;;;;;;0;;;;;
Defendo (VTech, Explorer Time & Fun);Defendo (VTech, Explorer Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Donkey Kong (Coleco);Donkey Kong (Coleco);Nintendo Game and Watch;;;;;;;;;0;;;;;
Donkey Kong (Nintendo, Multi Screen);Donkey Kong (Nintendo, Multi Screen);Nintendo Game and Watch;;;;;;;;;0;;;;;
Donkey Kong II (Nintendo, Multi Screen);Donkey Kong II (Nintendo, Multi Screen);Nintendo Game and Watch;;;;;;;;;0;;;;;
Donkey Kong Jr. (Coleco);Donkey Kong Jr. (Coleco);Nintendo Game and Watch;;;;;;;;;0;;;;;
Donkey Kong Jr. (Nintendo, Table Top);Donkey Kong Jr. (Nintendo, Table Top);Nintendo Game and Watch;;;;;;;;;0;;;;;
Dungeons & Dragons Computer Fantasy Game (Mattel Electronics, Arcade Action Series);Dungeons & Dragons Computer Fantasy Game (Mattel Electronics, Arcade Action Series);Nintendo Game and Watch;;;;;;;;;0;;;;;
Egg (Nintendo, Wide Screen);Egg (Nintendo, Wide Screen);Nintendo Game and Watch;;;;;;;;;0;;;;;
Engine Room (VTech, Explorer Time & Fun);Engine Room (VTech, Explorer Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Escape (VTech, Time & Fun);Escape (VTech, Time & Fun);Nintendo Game and Watch;;;;;;;;;0;;;;;
Explorers of Space (Elektronika);Explorers of Space (Elektronika);Nintendo Game and Watch;;;;;;;;;0;;;;;
Fowling (Elektronika);Fowling (Elektronika);Nintendo Game and Watch;;;;;;;;;0;;;;;
Frog Boaster (Elektronika);Frog Boaster (Elektronika);Nintendo Game and Watch;;;;;;;;;0;;;;;
Galaxy II (Epoch);Galaxy II (Epoch);Nintendo Game and Watch;;;;;;;;;0;;;;;
