#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1942 Cold Winter;1942 Cold Winter;Nintendo NES Hacks;;;;;;;;;;;;;;
1nesh1;1nesh1;Nintendo NES Hacks;;;;;;;;;;;;;;
2003RBI by brisco (R.B.I. Baseball Hack);2003RBI by brisco (R.B.I. Baseball Hack);Nintendo NES Hacks;;;;;;;;;;;;;;
2600 Bros;2600 Bros;Nintendo NES Hacks;;;;;;;;;;;;;;
8 Eyes - Belmont's Quest - By Elbobelo (U);8 Eyes - Belmont's Quest - By Elbobelo (U);Nintendo NES Hacks;;;;;;;;;;;;;;
88 89 Diff Teams (R.B.I. Baseball Hack);88 89 Diff Teams (R.B.I. Baseball Hack);Nintendo NES Hacks;;;;;;;;;;;;;;
ALF Escapes!;ALF Escapes!;Nintendo NES Hacks;;;;;;;;;;;;;;
AV Hanafuda Club (Hacker) [!];AV Hanafuda Club (Hacker) [!];Nintendo NES Hacks;;;;;;;;;;;;;;
AV Pachi-Slot (Hacker);AV Pachi-Slot (Hacker);Nintendo NES Hacks;;;;;;;;;;;;;;
AV Soccer (Hacker) [!];AV Soccer (Hacker) [!];Nintendo NES Hacks;;;;;;;;;;;;;;
Abarenbou Tengu by Mogemogesama (Hack);Abarenbou Tengu by Mogemogesama (Hack);Nintendo NES Hacks;;;;;;;;;;;;;;
Abarenbou Tengu by Rinkaku (Hack);Abarenbou Tengu by Rinkaku (Hack);Nintendo NES Hacks;;;;;;;;;;;;;;
Abarenradin (Abarenbou Tengu Hack);Abarenradin (Abarenbou Tengu Hack);Nintendo NES Hacks;;;;;;;;;;;;;;
Acid Bros (SMB1 Hack);Acid Bros (SMB1 Hack);Nintendo NES Hacks;;;;;;;;;;;;;;
Acid Hackman (Pac-Man Hack);Acid Hackman (Pac-Man Hack);Nintendo NES Hacks;;;;;;;;;;;;;;
AckII Art Mario by SnowArrow (SMB1 Hack);AckII Art Mario by SnowArrow (SMB1 Hack);Nintendo NES Hacks;;;;;;;;;;;;;;
