Samurai Shodown (USA);Samurai Shodown (USA);Sega CD;;1993;JVC Musal Indicustries, Inc.;Fighter;;;;;0;;;;;
Samurai Shodown (USA);Samurai Shodown (USA);Sega Game Gear;;1994;Takara;Fighter;;;;;0;;;;;
Samurai Shodown (USA);Samurai Shodown (USA);Sega Genesis;;1994;Saurus;Fighter;;;;;0;;;;;
Samurai Shodown (USA);Samurai Shodown (USA);Super Nintendo Entertainment System;;1994;Takara;Fighter;;;;;0;;;;;
Samurai Shodown (USA, Europe);Samurai Shodown (USA, Europe);Nintendo Game Boy;;1994;Takara;Fighter;;;;;0;;;;;
Samurai Shodown (USA, Europe);Samurai Shodown (USA, Europe);Panasonic 3DO;;1994;Crystal Dynamics;Fighter;;;;;0;;;;;
Samurai Shodown - Warriors Rage (USA);Samurai Shodown - Warriors Rage (USA);Sony PSP;;2000;SNK;Fighter;;;;;0;;;;;
Samurai Shodown - Warriors Rage (USA);Samurai Shodown - Warriors Rage (USA);Sony PlayStation;;2000;SNK;Fighter;;;;;0;;;;;
Samurai Shodown III - Blades of Blood (USA);Samurai Shodown III - Blades of Blood (USA);Sony PSP;;1996;SCEA;Fighter;;;;;0;;;;;
Samurai Shodown III - Blades of Blood (USA);Samurai Shodown III - Blades of Blood (USA);Sony PlayStation;;1996;SCEA;Fighter;;;;;0;;;;;
Samurai Shodown! - Pocket Fighting Series (Japan, Europe);Samurai Shodown! - Pocket Fighting Series (Japan, Europe);SNK Neo Geo Pocket;;1998;SNK;Fighter;;;;;0;;;;;
Samurai Shodown! 2 - Pocket Fighting Series (World) (En,Ja);Samurai Shodown! 2 - Pocket Fighting Series (World) (En,Ja);SNK Neo Geo Pocket Color;;1999;SNK;Fighter;;;;;0;;;;;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);Arcade;;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);Final Burn Alpha;;2004;Yuki Enterprise / SNK Playmore;;;;;;0;;;;;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);MAME (Advance);;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);MAME (Libretro);;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sp;Samurai Shodown V Special / Samurai Spirits Zero Special (NGM-2720);MAME (Mame4all);;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sp;Samurai Showdown 5 Special;SNK Neo Geo AES;;2004;Yuki Enterprise;Action/Fighting;;;;;0;;;;;
samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored);Arcade;samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored);Final Burn Alpha;samsh5sp;2004;Yuki Enterprise / SNK Playmore;;;;;;0;;;;;
samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored);MAME (Advance);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored);MAME (Libretro);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5sph;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (2nd release, less censored);MAME (Mame4all);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (1st release, censored);Arcade;samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (1st release, censored);Final Burn Alpha;samsh5sp;2004;Yuki Enterprise / SNK Playmore;;;;;;0;;;;;
samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (1st release, censored);MAME (Advance);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (1st release, censored);MAME (Libretro);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsh5spho;Samurai Shodown V Special / Samurai Spirits Zero Special (NGH-2720) (1st release, censored);MAME (Mame4all);samsh5sp;2004;Yuki Enterprise / SNK Playmore;Fighter / Versus;;;;;0;;;;;
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);Arcade;;1994;SNK;Fighter / Versus;;;;;0;;;;;
samsho2;Samurai Shodown II / Shin Samurai Spirits - Haohmaru jigokuhen (NGM-063)(NGH-063);Final Burn Alpha;;1994;SNK;;;;;;0;;;;;
