#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
5 in 1 Funpak (USA);5 in 1 Funpak (USA);Sega Game Gear;;1994;Interplay;Board Games;;;;;0;;;;;
Aa Harimanada (Japan);Aa Harimanada (Japan);Sega Game Gear;;1993;Sega;Sports;;;;;0;;;;;
Addams Family, The (World);Addams Family, The (World);Sega Game Gear;;1994;Flying Edge;Platform;;;;;0;;;;;
Adventures of Batman & Robin, The (USA, Europe);Adventures of Batman & Robin, The (USA, Europe);Sega Game Gear;;1995;Sega;Action;;;;;0;;;;;
Aerial Assault (World);Aerial Assault (World);Sega Game Gear;;1992;Sega;Shooter;;;;;0;;;;;
Aladdin (USA, Europe);Aladdin (USA, Europe);Sega Game Gear;;1994;Sega;Platform;;;;;0;;;;;
Alien 3 (USA, Europe);Alien 3 (USA, Europe);Sega Game Gear;;1994;Arena;Platform;;;;;0;;;;;
Alien Syndrome (USA, Europe);Alien Syndrome (USA, Europe);Sega Game Gear;;1992;Sega;Action;;;;;0;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);Sega Game Gear;;1994;Sega;Sports/Tennis;;;;;0;;;;;
Arcade Classics (USA);Arcade Classics (USA);Sega Game Gear;;1996;Sega;Compilation;;;;;0;;;;;
Arch Rivals (USA);Arch Rivals (USA);Sega Game Gear;;1992;Flying Edge;Sports/Basketball;;;;;0;;;;;
Arena (USA, Europe);Arena (USA, Europe);Sega Game Gear;;1996;Sega;Shooter;;;;;0;;;;;
Ariel the Little Mermaid (USA, Europe);Ariel the Little Mermaid (USA, Europe);Sega Game Gear;;1992;Sega;Action;;;;;0;;;;;
Asterix and the Great Rescue (USA);Asterix and the Great Rescue (USA);Sega Game Gear;;1995;Sega;Action;;;;;0;;;;;
Asterix and the Secret Mission (Europe);Asterix and the Secret Mission (Europe);Sega Game Gear;;1993;Sega;Action;;;;;0;;;;;
Ax Battler - A Legend of Golden Axe (USA, Europe);Ax Battler - A Legend of Golden Axe (USA, Europe);Sega Game Gear;;1991;Sega;Action;;;;;0;;;;;
Ayrton Senna's Super Monaco GP II (USA, Europe);Ayrton Senna's Super Monaco GP II (USA, Europe);Sega Game Gear;;1992;Sega;Driving;;;;;0;;;;;
Baku Baku Animal (USA);Baku Baku Animal (USA);Sega Game Gear;;1996;Sega;Puzzle;;;;;0;;;;;
Barbie Super Model (USA) (Proto);Barbie Super Model (USA) (Proto);Sega Game Gear;;1994;Bonsai;Platform;;;;;0;;;;;
Bartman Meets Radioactive Man (USA, Europe);Bartman Meets Radioactive Man (USA, Europe);Sega Game Gear;;1992;Acclaim;Platform;;;;;0;;;;;
Batman Forever (World);Batman Forever (World);Sega Game Gear;;1995;Acclaim;Beat-'Em-Up;;;;;0;;;;;
Batman Returns (World);Batman Returns (World);Sega Game Gear;;1992;Sega;Action;;;;;0;;;;;
Batter Up (USA, Europe);Batter Up (USA, Europe);Sega Game Gear;;1991;Namco;Sports/Baseball;;;;;0;;;;;
Battleship (USA, Europe);Battleship (USA, Europe);Sega Game Gear;;1993;Mindscape Inc.;Board Games;;;;;0;;;;;
Battletoads (USA);Battletoads (USA);Sega Game Gear;;1993;Sega;Beat-'Em-Up;;;;;0;;;;;
Beavis and Butt-head (USA);Beavis and Butt-head (USA);Sega Game Gear;;1994;Viacom New Media;Adventure;;;;;0;;;;;
Berenstain Bears' Camping Adventure, The (USA);Berenstain Bears' Camping Adventure, The (USA);Sega Game Gear;;1994;Sega;Action;;;;;0;;;;;
Berlin no Kabe (Japan);Berlin no Kabe (Japan);Sega Game Gear;;1991;Kaneko;Action;;;;;0;;;;;
Bishoujo Senshi Sailor Moon S (Japan);Bishoujo Senshi Sailor Moon S (Japan);Sega Game Gear;;1995;Bandai;Action;;;;;0;;;;;
Bonkers Wax Up! (USA, Europe);Bonkers Wax Up! (USA, Europe);Sega Game Gear;;1995;Sega;Platform;;;;;0;;;;;
Bram Stoker's Dracula (USA);Bram Stoker's Dracula (USA);Sega Game Gear;;1993;Sony Imagesoft;Action;;;;;0;;;;;
Bubble Bobble (USA, Europe);Bubble Bobble (USA, Europe);Sega Game Gear;;1994;Taito Corporation;Platform;;;;;0;;;;;
