#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
20 em 1 (Brazil);20 em 1 (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Ariel - The Little Mermaid (Brazil);Ariel - The Little Mermaid (Brazil);Sega Master System (Tec Toy);;1992;Sega;Action;1;;;;;;;;;
As Aventuras Da TV Colosso (Brazil);As Aventuras Da TV Colosso (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Baku Baku (Brazil);Baku Baku (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Battlemaniacs (Brazil);Battlemaniacs (Brazil);Sega Master System (Tec Toy);;1993;Virgin Interactive;Action;2;;;;;;;;;
Bonkers Wax Up! (Brazil);Bonkers Wax Up! (Brazil);Sega Master System (Tec Toy);;1994;Tec Toy;Platform;;;;;;;;;;
Castelo Ra.Tim.Bum (Brazil);Castelo Ra.Tim.Bum (Brazil);Sega Master System (Tec Toy);;1997;Tectoy;Action;1;;;;;;;;;
Chapolim x Dracula - Um Duelo Assustador (Brazil);Chapolim x Dracula - Um Duelo Assustador (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Dynamite Headdy (Brazil);Dynamite Headdy (Brazil);Sega Master System (Tec Toy);;1994;Tec Toy;Platform;;;;;;;;;;
Earthworm Jim (Brazil);Earthworm Jim (Brazil);Sega Master System (Tec Toy);;1994;Playmates;Adventure;;;;;;;;;;
Ecco - The Tides of Time (Brazil);Ecco - The Tides of Time (Brazil);Sega Master System (Tec Toy);;1995;Tec Toy;Adventure;1;;;;;;;;;
FIFA International Soccer (Brazil);FIFA International Soccer (Brazil);Sega Master System (Tec Toy);;1996;Electronic Arts;Sports;1;;;;;;;;;
Ferias Frustradas do Pica Pau (Brazil);Ferias Frustradas do Pica Pau (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Fire And Ice (Brazil);Fire And Ice (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Geraldinho (Brazil);Geraldinho (Brazil);Sega Master System (Tec Toy);;1995;Tectoy;Action;1;;;;;;;;;
Legend Of Illusion - Starring Mickey Mouse (Brazil);Legend Of Illusion - Starring Mickey Mouse (Brazil);Sega Master System (Tec Toy);;1995;Tec Toy;Platform;1;;;;;;;;;
Mickeys Ultimate Challenge (Brazil);Mickeys Ultimate Challenge (Brazil);Sega Master System (Tec Toy);;1998;Tec Toy;Puzzle;1;;;;;;;;;
Monica no Castelo do Dragao (Brazil);Monica no Castelo do Dragao (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Mortal Kombat 3 (Brazil);Mortal Kombat 3 (Brazil);Sega Master System (Tec Toy);;1996;Tec Toy;Fighting;2;;;;;;;;;
Quest For The Shaven Yak - Starring Ren Hoek And Stimpy (Brazil);Quest For The Shaven Yak - Starring Ren Hoek And Stimpy (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Sapo Xule - O Mestre do Kung Fu (Brazil);Sapo Xule - O Mestre do Kung Fu (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Sapo Xule - S.O.S Lagoa Poluida (Brazil);Sapo Xule - S.O.S Lagoa Poluida (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Sapo Xule vs. Os Invasores do Brejo (Brazil);Sapo Xule vs. Os Invasores do Brejo (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Sitio do Picapau Amarelo (Brazil);Sitio do Picapau Amarelo (Brazil);Sega Master System (Tec Toy);;1998;Tec Toy;Action;2;;;;;;;;;
Sonic Blast (Brazil);Sonic Blast (Brazil);Sega Master System (Tec Toy);;1997;Tec Toy;Platform;1;;;;;;;;;
Street Fighter II (Brazil);Street Fighter II (Brazil);Sega Master System (Tec Toy);;1997;Tectoy;Fighting;2;;;;;;;;;
Taz in Escape from Mars (Brazil);Taz in Escape from Mars (Brazil);Sega Master System (Tec Toy);;1997;Tec Toy;Platform;1;;;;;;;;;
Turma da Monica em O Resgate (Brazil);Turma da Monica em O Resgate (Brazil);Sega Master System (Tec Toy);;;;;;;;;;;;;;
Virtua Fighter Animation (Brazil);Virtua Fighter Animation (Brazil);Sega Master System (Tec Toy);;1997;Tec Toy;Fighting;2;;;;;;;;;
X-Men - Mojo World (Brazil);X-Men - Mojo World (Brazil);Sega Master System (Tec Toy);;1996;Tec Toy;Platform;1;;;;;;;;;
