#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
20 em 1 (Brazil);20 em 1 (Brazil);Sega Master System;;1997;Tec Toy;Compilation;;;;;0;;;;;
4 PAK All Action (Australia);4 PAK All Action (Australia);Sega Master System;;1995;Open Corp. ;Compilation;;;;;0;;;;;
Ace of Aces (Europe);Ace of Aces (Europe);Sega Master System;;1991;Sega;Flying;;;;;0;;;;;
Action Fighter (USA, Europe);Action Fighter (USA, Europe);Sega Master System;;1986;Sega;Driving;;;;;0;;;;;
Addams Family, The (Europe);Addams Family, The (Europe);Sega Master System;;1992;Flying Edge;Action;;;;;0;;;;;
Aerial Assault (USA);Aerial Assault (USA);Sega Master System;;1990;Sega;Shooter;;;;;0;;;;;
After Burner (World);After Burner (World);Sega Master System;;1988;Sega;Flying;;;;;0;;;;;
Air Rescue (Europe);Air Rescue (Europe);Sega Master System;;1992;Sega;Shooter;;;;;0;;;;;
Aladdin (Europe);Aladdin (Europe);Sega Master System;;1994;Sega;Platform;;;;;0;;;;;
Alex Kidd - High-Tech World (USA, Europe);Alex Kidd - High-Tech World (USA, Europe);Sega Master System;;1989;Sega;Platform;;;;;0;;;;;
Alex Kidd - The Lost Stars (World);Alex Kidd - The Lost Stars (World);Sega Master System;;1988;Sega;Platform;;;;;0;;;;;
Alex Kidd BMX Trial (Japan);Alex Kidd BMX Trial (Japan);Sega Master System;;1987;Sega;Sports/Biking;;;;;0;;;;;
Alex Kidd in Miracle World (USA, Europe);Alex Kidd in Miracle World (USA, Europe);Sega Master System;;1986;Sega;Platform;;;;;0;;;;;
Alex Kidd in Shinobi World (USA, Europe);Alex Kidd in Shinobi World (USA, Europe);Sega Master System;;1990;Sega;Platform;;;;;0;;;;;
Alf (USA);Alf (USA);Sega Master System;;1989;Sega;Action;;;;;0;;;;;
Alien 3 (Europe);Alien 3 (Europe);Sega Master System;;1992;Arena;Action;;;;;0;;;;;
Alien Storm (Europe);Alien Storm (Europe);Sega Master System;;1991;Sega;Beat-'Em-Up;;;;;0;;;;;
Alien Syndrome (USA, Europe);Alien Syndrome (USA, Europe);Sega Master System;;1988;Sega;Shooter;;;;;0;;;;;
Altered Beast (USA, Europe);Altered Beast (USA, Europe);Sega Master System;;1989;Sega;Beat-'Em-Up;;;;;0;;;;;
Andre Agassi Tennis (Europe);Andre Agassi Tennis (Europe);Sega Master System;;1993;Sega;Sports/Tennis;;;;;0;;;;;
Arcade Smash Hits (Europe);Arcade Smash Hits (Europe);Sega Master System;;1992;Sega;Miscellaneous;;;;;0;;;;;
Argos no Juujiken (Japan);Argos no Juujiken (Japan);Sega Master System;;1988;Tecmo;Platform;;;;;0;;;;;
Ariel - The Little Mermaid (Brazil);Ariel - The Little Mermaid (Brazil);Sega Master System;;1992;Bluesky Innovations;Platform;;;;;0;;;;;
Assault City (Europe);Assault City (Europe);Sega Master System;;1990;Sega;Gun;;;;;0;;;;;
Asterix (Europe);Asterix (Europe);Sega Master System;;1991;Sega;Action;;;;;0;;;;;
Asterix and the Great Rescue (Europe);Asterix and the Great Rescue (Europe);Sega Master System;;1993;Sega;Platform;;;;;0;;;;;
Asterix and the Secret Mission (Europe);Asterix and the Secret Mission (Europe);Sega Master System;;1993;Sega;Platform;;;;;0;;;;;
Astro Warrior & Pit Pot (Europe);Astro Warrior & Pit Pot (Europe);Sega Master System;;1986;Sega;Miscellaneous;;;;;0;;;;;
Astro Warrior (Japan, USA);Astro Warrior (Japan, USA);Sega Master System;;1986;Sega;Shooter;;;;;0;;;;;
Ayrton Senna's Super Monaco GP II (Europe);Ayrton Senna's Super Monaco GP II (Europe);Sega Master System;;1992;Sega;Driving;;;;;0;;;;;
Aztec Adventure - The Golden Road to Paradise (World);Aztec Adventure - The Golden Road to Paradise (World);Sega Master System;;1988;Sega;Action;;;;;0;;;;;
Back to the Future Part II (Europe);Back to the Future Part II (Europe);Sega Master System;;1990;Imageworks;Action;;;;;0;;;;;
Back to the Future Part III (Europe);Back to the Future Part III (Europe);Sega Master System;;1993;Imageworks;Action;;;;;0;;;;;
Baku Baku Animal (Brazil);Baku Baku Animal (Brazil);Sega Master System;;1998;Sega;Puzzle;;;;;0;;;;;
Bank Panic (Europe);Bank Panic (Europe);Sega Master System;;1987;Sega;Gun;;;;;0;;;;;
Basketball Nightmare (Europe);Basketball Nightmare (Europe);Sega Master System;;1989;Sega;Sports/Basketball;;;;;0;;;;;
