#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Altered Beast (Alternate Style);Altered Beast (Alternate Style);Sega Mega Drive Hacks;;1988;Sega;Action;2;;;;;;;;;
Amy Rose In Sonic The Hedgehog;Amy Rose In Sonic The Hedgehog;Sega Mega Drive Hacks;;2015;;;1;;;;;;;;;
Amy Rose In Sonic The Hedgehog 2;Amy Rose In Sonic The Hedgehog 2;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Amy Rose in Sonic the Hedgehog 3;Amy Rose in Sonic the Hedgehog 3;Sega Mega Drive Hacks;;;;;;;;;;;;;;
BakaSonic;BakaSonic;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Battletoads and Double Dragon L7 (Smash hits sounds);Battletoads and Double Dragon L7 (Smash hits sounds);Sega Mega Drive Hacks;;;;;;;;;;;;;;
Blue Sphere Plus;Blue Sphere Plus;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Bunnie Rabbot In Sonic The Hedgehog;Bunnie Rabbot In Sonic The Hedgehog;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Fix it Felix Jr;Fix it Felix Jr;Sega Mega Drive Hacks;;2014;Tobi Komi;;1;;;;;;;;;
Kirby in Sonic The Hedgehog;Kirby in Sonic The Hedgehog;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Kirby in Sonic the Hedgehog 2;Kirby in Sonic the Hedgehog 2;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Metal Sonic Hyperdrive;Metal Sonic Hyperdrive;Sega Mega Drive Hacks;;2014;Lone Devil;Platform;1;;;;;;;;;
Mortal Kombat Revelations;Mortal Kombat Revelations;Sega Mega Drive Hacks;;2012;Smoke;Fighting;2;;;;;;;;;
Phantasy Star II (Evil Overload);Phantasy Star II (Evil Overload);Sega Mega Drive Hacks;;1989;Sega;Role-Playing;1;;;;;;;;;
SOR 2 Terminatrix;SOR 2 Terminatrix;Sega Mega Drive Hacks;;;;;;;;;;;;;;
SOR2 shinobi edition;SOR2 shinobi edition;Sega Mega Drive Hacks;;;;;;;;;;;;;;
SOR2Remastered;SOR2Remastered;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Shinobi 3 (Enhanced Edition);Shinobi 3 (Enhanced Edition);Sega Mega Drive Hacks;;;;;;;;;;;;;;
Sonic 2 - Battle Race;Sonic 2 - Battle Race;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Sonic 2- Aluminium Edition;Sonic 2- Aluminium Edition;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Sonic Classic Heroes;Sonic Classic Heroes;Sega Mega Drive Hacks;;2013;;Action / Platform;3;;;;;;;;;
Sonic Megamix;Sonic Megamix;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Sonic the Hedgehog 3 - Complete;Sonic the Hedgehog 3 - Complete;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Sonic the Hedgehog Plus;Sonic the Hedgehog Plus;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Streets of Rage - Syndicate Wars (X);Streets of Rage - Syndicate Wars (X);Sega Mega Drive Hacks;;;;;;;;;;;;;;
Streets of Rage 2 - Extreme Punishment Edition;Streets of Rage 2 - Extreme Punishment Edition;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Streets of Rage 2 - TMNT Edition;Streets of Rage 2 - TMNT Edition;Sega Mega Drive Hacks;;;;;;;;;;;;;;
Super Street Fighter II - Enhanced Colors;Super Street Fighter II - Enhanced Colors;Sega Mega Drive Hacks;;;;;;;;;;;;;;
TMNT Hyperstone Heist (Enhanced Colors);TMNT Hyperstone Heist (Enhanced Colors);Sega Mega Drive Hacks;;;;;;;;;;;;;;
Ultimate Mortal Kombat Trilogy;Ultimate Mortal Kombat Trilogy;Sega Mega Drive Hacks;;2011;KABAL_MK;Fighting;2;;;;;;;;;
