#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
A Ressha de Gyoukou MD (Japan);A Ressha de Gyoukou MD (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Advanced Daisenryaku (Japan);Advanced Daisenryaku (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Aero Blasters (Japan);Aero Blasters (Japan);Sega Mega Drive Japan;;1991;Kaneko;Shooter;2;;;;;;;;;
After Burner II (Japan);After Burner II (Japan);Sega Mega Drive Japan;;1990;Sega;Shooter;1;;;;;;;;;
Aladdin (Japan);Aladdin (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Alex Kidd - Tenkuu Majou (Japan);Alex Kidd - Tenkuu Majou (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Alisia Dragoon (Japan);Alisia Dragoon (Japan);Sega Mega Drive Japan;;1992;Game Arts;Action / Shooter;1;;;;;;;;;
Aoki Ookami to Shiroki Meshika - Genchou Hishi (Japan);Aoki Ookami to Shiroki Meshika - Genchou Hishi (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Aworg (Japan);Aworg (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bad Omen (Japan);Bad Omen (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bahamut Senki (Japan);Bahamut Senki (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bare Knuckle - Ikari no Tetsuken - Streets of Rage (World) (Rev A);Bare Knuckle - Ikari no Tetsuken - Streets of Rage (World) (Rev A);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bare Knuckle II (Japan);Bare Knuckle II (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
Bare Knuckle III (Japan);Bare Knuckle III (Japan);Sega Mega Drive Japan;;1994;Sega;Action / Fighting;2;;;;;;;;;
Batman (Japan);Batman (Japan);Sega Mega Drive Japan;;;;;;;;;;;;;;
