#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
Bank Panic (Japan);Bank Panic (Japan);Sega SG-1000;;1985;Sega;Action;;;;;0;;;;;
Black Onyx, The (Japan) (Translated En);Black Onyx, The (Japan) (Translated En);Sega SG-1000;;1987;Sega;Role-Playing;;;;;0;;;;;
Bomb Jack (Japan);Bomb Jack (Japan);Sega SG-1000;;1985;Sega;Puzzle;;;;;0;;;;;
Borderline (Japan, Europe);Borderline (Japan, Europe);Sega SG-1000;;1983;Compile;Shooter;;;;;0;;;;;
C_So! (Japan);C_So! (Japan);Sega SG-1000;;1985;Compile;Action;;;;;0;;;;;
Castle, The (Japan);Castle, The (Japan);Sega SG-1000;;1986;Sega;Puzzle;;;;;0;;;;;
Chack'n Pop (Japan) (Translated En);Chack'n Pop (Japan) (Translated En);Sega SG-1000;;1985;Sega;Action;;;;;0;;;;;
Challenge Derby (Japan);Challenge Derby (Japan);Sega SG-1000;;1984;Tsukuda Original;Action;;;;;0;;;;;
Champion Baseball (Japan);Champion Baseball (Japan);Sega SG-1000;;1983;Alpha Denshi;Sports/Baseball;;;;;0;;;;;
Champion Billiards (Japan);Champion Billiards (Japan);Sega SG-1000;;1986;Compile;Sports;;;;;0;;;;;
Champion Boxing (Japan);Champion Boxing (Japan);Sega SG-1000;;1984;Sega;Sports/Boxing;;;;;0;;;;;
Champion Golf (Japan);Champion Golf (Japan);Sega SG-1000;;1983;Sega;Sports/Golf;;;;;0;;;;;
Champion Ice Hockey (Japan);Champion Ice Hockey (Japan);Sega SG-1000;;1985;Sega;Sports/Ice Hockey;;;;;0;;;;;
Champion Kendou (Japan);Champion Kendou (Japan);Sega SG-1000;;1986;Sega;Sports;;;;;0;;;;;
Champion Pro Wrestling (Japan);Champion Pro Wrestling (Japan);Sega SG-1000;;1985;Sega;Sports/Wrestling;;;;;0;;;;;
Champion Soccer (Japan);Champion Soccer (Japan);Sega SG-1000;;1984;Sega;Sports/Soccer;;;;;0;;;;;
Champion Tennis (Japan);Champion Tennis (Japan);Sega SG-1000;;1983;Sega;Sports/Tennis;;;;;0;;;;;
Championship Lode Runner (Japan);Championship Lode Runner (Japan);Sega SG-1000;;1985;Compile;Puzzle;;;;;0;;;;;
