#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
007 - The World Is Not Enough (USA);007 - The World Is Not Enough (USA);Sony PlayStation;;2000;Electronic Arts;Shooter;;;;;0;;;;;
007 - Tomorrow Never Dies (USA);007 - Tomorrow Never Dies (USA);Sony PlayStation;;2000;Electronic Arts;Shooter;;;;;0;;;;;
007 Racing (USA);007 Racing (USA);Sony PlayStation;;2000;Electronic Arts;Driving;;;;;0;;;;;
100 Percent Star (Europe);100 Percent Star (Europe);Sony PlayStation;;2001;EIDOS;Strategy;;;;;0;;;;;
1Xtreme (USA);1Xtreme (USA);Sony PlayStation;;1995;SCEA;Sports;;;;;0;;;;;
2002 FIFA World Cup (USA);2002 FIFA World Cup (USA);Sony PlayStation;;2002;EA Sports;Sports/Soccer;;;;;0;;;;;
2Xtreme (USA);2Xtreme (USA);Sony PlayStation;;1996;SCEA;Sports;;;;;0;;;;;
360 - Three Sixty (Europe);360 - Three Sixty (Europe);Sony PlayStation;;1999;Cryo Interactive;Shooter;;;;;0;;;;;
3D Baseball (USA);3D Baseball (USA);Sony PlayStation;;1996;Crystal Dynamics;Sports/Baseball;;;;;0;;;;;
3D Lemmings (USA);3D Lemmings (USA);Sony PlayStation;;1995;Psygnosis;Puzzle;;;;;0;;;;;
3Xtreme (USA);3Xtreme (USA);Sony PlayStation;;1999;989 Sports;Sports;;;;;0;;;;;
4-4-2 Soccer (Europe);4-4-2 Soccer (Europe);Sony PlayStation;;1997;Virgin Interactive;Sports/Soccer;;;;;0;;;;;
40 Winks (USA);40 Winks (USA);Sony PlayStation;;1999;GT Interactive;Action;;;;;0;;;;;
5 Star Racing (Europe);5 Star Racing (Europe);Sony PlayStation;;2003;Phoenix Games;Driving;;;;;0;;;;;
A Bug's Life (USA);A Bug's Life (USA);Sony PlayStation;;1998;SCEA;Action;;;;;0;;;;;
