#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
2020 Super Baseball (USA);2020 Super Baseball (USA);Super Nintendo Entertainment System;;1993;SNK;Sports/Baseball;;;;;0;;;;;
3 Ninjas Kick Back (USA);3 Ninjas Kick Back (USA);Super Nintendo Entertainment System;;1994;Sony Imagesoft;Fighter;;;;;0;;;;;
7th Saga, The (USA);7th Saga, The (USA);Super Nintendo Entertainment System;;1993;Enix America Inc.;Role-Playing;;;;;0;;;;;
90 Minutes - European Prime Goal (Europe);90 Minutes - European Prime Goal (Europe);Super Nintendo Entertainment System;;1995;Ocean;Sports/Soccer;;;;;0;;;;;
A.S.P. - Air Strike Patrol (USA);A.S.P. - Air Strike Patrol (USA);Super Nintendo Entertainment System;;1994;Seta Corporation;Flying;;;;;0;;;;;
ABC Monday Night Football (USA);ABC Monday Night Football (USA);Super Nintendo Entertainment System;;1993;Data East;Sports/Football;;;;;0;;;;;
ACME Animation Factory (USA);ACME Animation Factory (USA);Super Nintendo Entertainment System;;1994;Sun Soft;Puzzle;;;;;0;;;;;
Aaahh!!! Real Monsters (USA);Aaahh!!! Real Monsters (USA);Super Nintendo Entertainment System;;1995;Viacom New Media;Platform;;;;;0;;;;;
ActRaiser (USA);ActRaiser (USA);Super Nintendo Entertainment System;;1991;Enix;Action;;;;;0;;;;;
ActRaiser 2 (USA);ActRaiser 2 (USA);Super Nintendo Entertainment System;;1993;Enix;Platform;;;;;0;;;;;
Addams Family Values (USA);Addams Family Values (USA);Super Nintendo Entertainment System;;1995;Ocean;Adventure;;;;;0;;;;;
Addams Family, The (USA);Addams Family, The (USA);Super Nintendo Entertainment System;;1992;Ocean;Platform;;;;;0;;;;;
Addams Family, The - Pugsley's Scavenger Hunt (USA);Addams Family, The - Pugsley's Scavenger Hunt (USA);Super Nintendo Entertainment System;;1992;Ocean;Platform;;;;;0;;;;;
Adventures of Batman & Robin, The (USA);Adventures of Batman & Robin, The (USA);Super Nintendo Entertainment System;;1994;Konami;Action;;;;;0;;;;;
Adventures of Dr. Franken, The (USA);Adventures of Dr. Franken, The (USA);Super Nintendo Entertainment System;;1993;DTMC;Platform;;;;;0;;;;;
Adventures of Kid Kleets, The (USA);Adventures of Kid Kleets, The (USA);Super Nintendo Entertainment System;;1994;Ocean;Platform;;;;;0;;;;;
Adventures of Rocky and Bullwinkle and Friends, The (USA);Adventures of Rocky and Bullwinkle and Friends, The (USA);Super Nintendo Entertainment System;;1993;THQ;Platform;;;;;0;;;;;
Adventures of Yogi Bear (USA);Adventures of Yogi Bear (USA);Super Nintendo Entertainment System;;1994;Cybersoft;Platform;;;;;0;;;;;
Aero Fighters (USA);Aero Fighters (USA);Super Nintendo Entertainment System;;1994;Mc O'River;Shooter;;;;;0;;;;;
Aero the Acro-Bat (USA);Aero the Acro-Bat (USA);Super Nintendo Entertainment System;;1993;Sun Soft;Platform;;;;;0;;;;;
Aero the Acro-Bat 2 (USA);Aero the Acro-Bat 2 (USA);Super Nintendo Entertainment System;;1994;Sun Soft;Platform;;;;;0;;;;;
Aerobiz (USA);Aerobiz (USA);Super Nintendo Entertainment System;;1993;Koei;Strategy;;;;;0;;;;;
Aerobiz Supersonic (USA);Aerobiz Supersonic (USA);Super Nintendo Entertainment System;;1993;Koei;Strategy;;;;;0;;;;;
Air Cavalry (USA);Air Cavalry (USA);Super Nintendo Entertainment System;;1995;Cybersoft;Action;;;;;0;;;;;
Al Unser Jr.'s Road to the Top (USA);Al Unser Jr.'s Road to the Top (USA);Super Nintendo Entertainment System;;1994;Software Toolworks;Driving;;;;;0;;;;;
Aladdin (USA);Aladdin (USA);Super Nintendo Entertainment System;;1993;Capcom;Platform;;;;;0;;;;;
Alien 3 (USA);Alien 3 (USA);Super Nintendo Entertainment System;;1993;LJN Ltd.;Platform;;;;;0;;;;;
Alien vs. Predator (USA);Alien vs. Predator (USA);Super Nintendo Entertainment System;;1993;Activision;Fighter;;;;;0;;;;;
American Gladiators (USA);American Gladiators (USA);Super Nintendo Entertainment System;;1993;GameTek;Sports;;;;;0;;;;;
American Tail, An - Fievel Goes West (USA);American Tail, An - Fievel Goes West (USA);Super Nintendo Entertainment System;;1994;Hudson;Platform;;;;;0;;;;;
Andre Agassi Tennis (USA);Andre Agassi Tennis (USA);Super Nintendo Entertainment System;;1994;TecMagik;Sports/Tennis;;;;;0;;;;;
Animaniacs (USA);Animaniacs (USA);Super Nintendo Entertainment System;;1994;Konami;Platform;;;;;0;;;;;
Apocalypse II (Europe) (Proto);Apocalypse II (Europe) (Proto);Super Nintendo Entertainment System;;1995;Psygnosis;Shooter;;;;;0;;;;;
Arcade's Greatest Hits - The Atari Collection 1 (USA);Arcade's Greatest Hits - The Atari Collection 1 (USA);Super Nintendo Entertainment System;;1997;Midway;Miscellaneous;;;;;0;;;;;
Arcana (USA);Arcana (USA);Super Nintendo Entertainment System;;1992;Hal;Role-Playing;;;;;0;;;;;
Archer Maclean's Super Dropzone (Europe);Archer Maclean's Super Dropzone (Europe);Super Nintendo Entertainment System;;1995;Psygnosis;Shooter;;;;;0;;;;;
Arcus Odyssey (USA) (Proto);Arcus Odyssey (USA) (Proto);Super Nintendo Entertainment System;;1993;Sammy;Role-Playing;;;;;0;;;;;
Ardy Lightfoot (USA);Ardy Lightfoot (USA);Super Nintendo Entertainment System;;1996;Titus Software;Platform;;;;;0;;;;;
Arkanoid - Doh It Again (USA);Arkanoid - Doh It Again (USA);Super Nintendo Entertainment System;;1997;Nintendo;Action;;;;;0;;;;;
Art of Fighting (USA);Art of Fighting (USA);Super Nintendo Entertainment System;;1993;SNK;Fighter;;;;;0;;;;;
Asterix & Obelix (Europe);Asterix & Obelix (Europe);Super Nintendo Entertainment System;;1995;Infogrames;Platform;;;;;0;;;;;
Asterix (Europe);Asterix (Europe);Super Nintendo Entertainment System;;1996;Infogrames;Platform;;;;;0;;;;;
Axelay (USA);Axelay (USA);Super Nintendo Entertainment System;;1992;Konami;Shooter;;;;;0;;;;;
B.O.B. (USA);B.O.B. (USA);Super Nintendo Entertainment System;;1993;Electronic Arts;Action;;;;;0;;;;;
BASS Masters Classic (USA);BASS Masters Classic (USA);Super Nintendo Entertainment System;;1995;Malibu;Sports;;;;;0;;;;;
